ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
39.7,n,37.4,362,61.9149971,4.9722262,37.4,35.72682083,58.93,30,90,4
39.7,p,37.4,362,61.9149971,4.9722262,37.4,35.72682083,58.93,30,90,4
40.3,n,37.4,362,61.9149971,4.9722262,37.4,35.72682083,58.93,30,90,4
40.3,p,37.4,362,61.9149971,4.9722262,37.4,35.72682083,58.93,30,90,4
32.8,n,28.6,603,27.73885536,4.5555592,28.6,32.65104105,73.5,40,0,23
32.8,p,28.6,603,27.73885536,4.5555592,28.6,32.65104105,73.5,40,0,23
33.5,n,28.6,603,27.73885536,4.5555592,28.6,32.65104105,73.5,40,0,23
33.5,p,28.6,603,27.73885536,4.5555592,28.6,32.65104105,73.5,40,0,23
31.5,n,25.3,194,73.7667923,2.1388906,25.3,29.57414637,78.54,0,20,18
31.5,p,25.3,194,73.7667923,2.1388906,25.3,29.57414637,78.54,0,20,18
29.9,n,25.3,194,73.7667923,2.1388906,25.3,29.57414637,78.54,0,20,18
29.9,p,25.3,194,73.7667923,2.1388906,25.3,29.57414637,78.54,0,20,18
22.6,n,21.2,325,73.14199066,2.8055578,21.2,19.486345,97.09,40,0,20
22.6,p,21.2,325,73.14199066,2.8055578,21.2,19.486345,97.09,40,0,20
21.3,n,21.2,325,73.14199066,2.8055578,21.2,19.486345,97.09,40,0,20
21.3,p,21.2,325,73.14199066,2.8055578,21.2,19.486345,97.09,40,0,20
34.5,n,27.4,678,29.30606842,2.4166686,27.4,29.92131368,19.71,5,70,15
34.5,p,27.4,678,29.30606842,2.4166686,27.4,29.92131368,19.71,5,70,15
32.8,n,27.4,678,29.30606842,2.4166686,27.4,29.92131368,19.71,5,70,15
32.8,p,27.4,678,29.30606842,2.4166686,27.4,29.92131368,19.71,5,70,15
25.1,n,22,433,28.64190674,4.6944482,22,28.38127498,76.95,30,10,28
25.1,p,22,433,28.64190674,4.6944482,22,28.38127498,76.95,30,10,28
25.3,n,22,433,28.64190674,4.6944482,22,28.38127498,76.95,30,10,28
25.3,p,22,433,28.64190674,4.6944482,22,28.38127498,76.95,30,10,28
31.6,n,29.5,648,59.98209381,0.8055562,29.5,27.89539676,62.9,0,100,5
31.6,p,29.5,648,59.98209381,0.8055562,29.5,27.89539676,62.9,0,100,5
33.1,n,29.5,648,59.98209381,0.8055562,29.5,27.89539676,62.9,0,100,5
33.1,p,29.5,648,59.98209381,0.8055562,29.5,27.89539676,62.9,0,100,5
33.7,n,31.2,466,36.45314407,3.5277806,31.2,22.78075819,43.29,0,0,4
33.7,p,31.2,466,36.45314407,3.5277806,31.2,22.78075819,43.29,0,0,4
35.3,n,31.2,466,36.45314407,3.5277806,31.2,22.78075819,43.29,0,0,4
35.3,p,31.2,466,36.45314407,3.5277806,31.2,22.78075819,43.29,0,0,4
