ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
32.2,n,24.3,536,39.485569,2.1388906,24.3,24.98488473,77.12,5,50,10
32.2,p,24.3,536,39.485569,2.1388906,24.3,24.98488473,77.12,5,50,10
32.7,n,24.3,536,39.485569,2.1388906,24.3,24.98488473,77.12,5,50,10
32.7,p,24.3,536,39.485569,2.1388906,24.3,24.98488473,77.12,5,50,10
33.5,n,22.7,722,38.90970993,3.3888916,22.7,36.45602329,0,0,100,18
33.5,p,22.7,722,38.90970993,3.3888916,22.7,36.45602329,0,0,100,18
33.8,n,22.7,722,38.90970993,3.3888916,22.7,36.45602329,0,0,100,18
33.8,p,22.7,722,38.90970993,3.3888916,22.7,36.45602329,0,0,100,18
20.5,n,16.8,616,29.64211082,4.8055594,16.8,23.71043319,0,75,100,22
20.5,p,16.8,616,29.64211082,4.8055594,16.8,23.71043319,0,75,100,22
22.6,n,16.8,616,29.64211082,4.8055594,16.8,23.71043319,0,75,100,22
22.6,p,16.8,616,29.64211082,4.8055594,16.8,23.71043319,0,75,100,22
28.8,n,28.3,516,48.68190765,3.055558,28.3,34.06629044,0,60,100,11
28.8,p,28.3,516,48.68190765,3.055558,28.3,34.06629044,0,60,100,11
32.2,n,28.3,516,48.68190765,3.055558,28.3,34.06629044,0,60,100,11
32.2,p,28.3,516,48.68190765,3.055558,28.3,34.06629044,0,60,100,11
24.5,n,20,526,36.97812271,1.3611122,20,29.44323476,53.2,0,100,21
24.5,p,20,526,36.97812271,1.3611122,20,29.44323476,53.2,0,100,21
24.7,n,20,526,36.97812271,1.3611122,20,29.44323476,53.2,0,100,21
24.7,p,20,526,36.97812271,1.3611122,20,29.44323476,53.2,0,100,21
34.4,n,32.4,281,36.19555664,0.3333336,32.4,32.53606333,62.3,100,0,17
34.4,p,32.4,281,36.19555664,0.3333336,32.4,32.53606333,62.3,100,0,17
34.5,n,32.4,281,36.19555664,0.3333336,32.4,32.53606333,62.3,100,0,17
34.5,p,32.4,281,36.19555664,0.3333336,32.4,32.53606333,62.3,100,0,17
25.9,n,23.2,165,27.03278732,0.4722226,23.2,22.19747797,81.8,100,40,46
25.9,p,23.2,165,27.03278732,0.4722226,23.2,22.19747797,81.8,100,40,46
26.2,n,23.2,165,27.03278732,0.4722226,23.2,22.19747797,81.8,100,40,46
26.2,p,23.2,165,27.03278732,0.4722226,23.2,22.19747797,81.8,100,40,46
15.7,n,12.5,448,35.44336319,1.4166678,12.5,10.71220657,67.24,15,100,30
15.7,p,12.5,448,35.44336319,1.4166678,12.5,10.71220657,67.24,15,100,30
16.3,n,12.5,448,35.44336319,1.4166678,12.5,10.71220657,67.24,15,100,30
16.3,p,12.5,448,35.44336319,1.4166678,12.5,10.71220657,67.24,15,100,30
23.8,n,22.3,744,21.90406609,3.4166694,22.3,18.31223169,91.16,0,100,19
23.8,p,22.3,744,21.90406609,3.4166694,22.3,18.31223169,91.16,0,100,19
23.3,n,22.3,744,21.90406609,3.4166694,22.3,18.31223169,91.16,0,100,19
23.3,p,22.3,744,21.90406609,3.4166694,22.3,18.31223169,91.16,0,100,19
31.9,n,28.7,502,70.43470001,1.9722238,28.7,27.62030326,12.9,5,80,17
31.9,p,28.7,502,70.43470001,1.9722238,28.7,27.62030326,12.9,5,80,17
32.1,n,28.7,502,70.43470001,1.9722238,28.7,27.62030326,12.9,5,80,17
32.1,p,28.7,502,70.43470001,1.9722238,28.7,27.62030326,12.9,5,80,17
31.4,n,25.4,755,20.55492592,0,25.4,31.93937267,0,0,20,39
31.4,p,25.4,755,20.55492592,0,25.4,31.93937267,0,0,20,39
33.4,n,25.4,755,20.55492592,0,25.4,31.93937267,0,0,20,39
33.4,p,25.4,755,20.55492592,0,25.4,31.93937267,0,0,20,39
