ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
24.4,n,18.4,776,38.06500244,2.2500018,18.4,20.23365177,0,60,0,17
24.4,p,18.4,776,38.06500244,2.2500018,18.4,20.23365177,0,60,0,17
22.5,n,18.4,776,38.06500244,2.2500018,18.4,20.23365177,0,60,0,17
22.5,p,18.4,776,38.06500244,2.2500018,18.4,20.23365177,0,60,0,17
34.8,n,20.5,462,37.78887177,1.1388898,20.5,30.49240196,65.94,5,0,26
34.8,p,20.5,462,37.78887177,1.1388898,20.5,30.49240196,65.94,5,0,26
36.9,n,20.5,462,37.78887177,1.1388898,20.5,30.49240196,65.94,5,0,26
36.9,p,20.5,462,37.78887177,1.1388898,20.5,30.49240196,65.94,5,0,26
25.4,n,22.3,808,37.2453537,5.0555596,22.3,23.38857176,82.32,10,100,10
25.4,p,22.3,808,37.2453537,5.0555596,22.3,23.38857176,82.32,10,100,10
27,n,22.3,808,37.2453537,5.0555596,22.3,23.38857176,82.32,10,100,10
27,p,22.3,808,37.2453537,5.0555596,22.3,23.38857176,82.32,10,100,10
36,n,33.5,691,24.74791527,4.3888924,33.5,37.78783928,0,0,10,15
36,p,33.5,691,24.74791527,4.3888924,33.5,37.78783928,0,0,10,15
36.8,n,33.5,691,24.74791527,4.3888924,33.5,37.78783928,0,0,10,15
36.8,p,33.5,691,24.74791527,4.3888924,33.5,37.78783928,0,0,10,15
30.5,n,28.2,765,24.38324928,3.6388918,28.2,27.42755856,95.58,0,80,4
30.5,p,28.2,765,24.38324928,3.6388918,28.2,27.42755856,95.58,0,80,4
30.5,n,28.2,765,24.38324928,3.6388918,28.2,27.42755856,95.58,0,80,4
30.5,p,28.2,765,24.38324928,3.6388918,28.2,27.42755856,95.58,0,80,4
44.3,n,42.2,662,36.45314407,2.1666684,42.2,45.36517226,36.04,10,90,4
44.3,p,42.2,662,36.45314407,2.1666684,42.2,45.36517226,36.04,10,90,4
46.6,n,42.2,662,36.45314407,2.1666684,42.2,45.36517226,36.04,10,90,4
46.6,p,42.2,662,36.45314407,2.1666684,42.2,45.36517226,36.04,10,90,4
27.1,n,23.5,81,27.03278732,0,23.5,23.91347419,96.1,100,60,58
27.1,p,23.5,81,27.03278732,0,23.5,23.91347419,96.1,100,60,58
27.7,n,23.5,81,27.03278732,0,23.5,23.91347419,96.1,100,60,58
27.7,p,23.5,81,27.03278732,0,23.5,23.91347419,96.1,100,60,58
53.1,n,31.2,806,35.44336319,4.3888924,31.2,37.65048079,0,5,0,13
53.1,p,31.2,806,35.44336319,4.3888924,31.2,37.65048079,0,5,0,13
53.1,n,31.2,806,35.44336319,4.3888924,31.2,37.65048079,0,5,0,13
53.1,p,31.2,806,35.44336319,4.3888924,31.2,37.65048079,0,5,0,13
32.4,n,27.7,695,58.41279984,0.5833338,27.7,27.17243415,82.32,0,70,11
32.4,p,27.7,695,58.41279984,0.5833338,27.7,27.17243415,82.32,0,70,11
32.6,n,27.7,695,58.41279984,0.5833338,27.7,27.17243415,82.32,0,70,11
32.6,p,27.7,695,58.41279984,0.5833338,27.7,27.17243415,82.32,0,70,11
26.1,n,22.1,320,34.26259995,2.1666684,22.1,22.71622858,75.82,70,60,33
26.1,p,22.1,320,34.26259995,2.1666684,22.1,22.71622858,75.82,70,60,33
26.1,n,22.1,320,34.26259995,2.1666684,22.1,22.71622858,75.82,70,60,33
26.1,p,22.1,320,34.26259995,2.1666684,22.1,22.71622858,75.82,70,60,33
17,n,15.3,301,45.30923462,1.5555568,15.3,17.97635016,92.72,0,95,46
17,p,15.3,301,45.30923462,1.5555568,15.3,17.97635016,92.72,0,95,46
16.8,n,15.3,301,45.30923462,1.5555568,15.3,17.97635016,92.72,0,95,46
16.8,p,15.3,301,45.30923462,1.5555568,15.3,17.97635016,92.72,0,95,46
32.5,n,28,802,20.22642326,0.6111116,28,26.45872376,0,0,70,19
32.5,p,28,802,20.22642326,0.6111116,28,26.45872376,0,0,70,19
30.9,n,28,802,20.22642326,0.6111116,28,26.45872376,0,0,70,19
30.9,p,28,802,20.22642326,0.6111116,28,26.45872376,0,0,70,19
35.9,n,30.5,787,45.30923462,1.6388902,30.5,32.37814279,78.16,0,80,11
35.9,p,30.5,787,45.30923462,1.6388902,30.5,32.37814279,78.16,0,80,11
35.5,n,30.5,787,45.30923462,1.6388902,30.5,32.37814279,78.16,0,80,11
35.5,p,30.5,787,45.30923462,1.6388902,30.5,32.37814279,78.16,0,80,11
30.4,n,23.4,375,33.38825226,0.2222224,23.4,24.48627526,80.76,40,100,17
30.4,p,23.4,375,33.38825226,0.2222224,23.4,24.48627526,80.76,40,100,17
28.8,n,23.4,375,33.38825226,0.2222224,23.4,24.48627526,80.76,40,100,17
28.8,p,23.4,375,33.38825226,0.2222224,23.4,24.48627526,80.76,40,100,17
,n,27.6,797,44.42347336,2.9444468,27.6,28.61891693,71.66,0,10,6
,p,27.6,797,44.42347336,2.9444468,27.6,28.61891693,71.66,0,10,6
33.5,n,27.6,797,44.42347336,2.9444468,27.6,28.61891693,71.66,0,10,6
33.5,p,27.6,797,44.42347336,2.9444468,27.6,28.61891693,71.66,0,10,6
36.7,n,38.2,408,32.38874435,1.38889,38.2,35.49674726,68.02,60,85,6
36.7,p,38.2,408,32.38874435,1.38889,38.2,35.49674726,68.02,60,85,6
37.3,n,38.2,408,32.38874435,1.38889,38.2,35.49674726,68.02,60,85,6
37.3,p,38.2,408,32.38874435,1.38889,38.2,35.49674726,68.02,60,85,6
25.5,n,25.9,872,43.77830505,1.4444456,25.9,23.2572592,14.75,25,50,10
25.5,p,25.9,872,43.77830505,1.4444456,25.9,23.2572592,14.75,25,50,10
26.1,n,25.9,872,43.77830505,1.4444456,25.9,23.2572592,14.75,25,50,10
