ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
32.9,n,25.4,748,39.19643021,5.5833378,25.4,30.44186176,0,50,10,24
32.9,p,25.4,748,39.19643021,5.5833378,25.4,30.44186176,0,50,10,24
34,n,25.4,748,39.19643021,5.5833378,25.4,30.44186176,0,50,10,24
34,p,25.4,748,39.19643021,5.5833378,25.4,30.44186176,0,50,10,24
30.3,n,24.3,278,73.7667923,2.638891,24.3,24.39279617,97.09,0,100,21
30.3,p,24.3,278,73.7667923,2.638891,24.3,24.39279617,97.09,0,100,21
39.3,n,24.3,278,73.7667923,2.638891,24.3,24.39279617,97.09,0,100,21
39.3,p,24.3,278,73.7667923,2.638891,24.3,24.39279617,97.09,0,100,21
34.9,n,23,686,25.85525322,2.083335,23,39.10187896,91.26,0,90,21
34.9,p,23,686,25.85525322,2.083335,23,39.10187896,91.26,0,90,21
29.9,n,23,686,25.85525322,2.083335,23,39.10187896,91.26,0,90,21
29.9,p,23,686,25.85525322,2.083335,23,39.10187896,91.26,0,90,21
31.2,n,22,760,25.1148777,7.6666728,22,31.7621191,0,10,30,33
31.2,p,22,760,25.1148777,7.6666728,22,31.7621191,0,10,30,33
33.1,n,22,760,25.1148777,7.6666728,22,31.7621191,0,10,30,33
33.1,p,22,760,25.1148777,7.6666728,22,31.7621191,0,10,30,33
52.9,n,42,789,47.76852798,0.0833334,42,55.03424818,92.05,0,0,4
52.9,p,42,789,47.76852798,0.0833334,42,55.03424818,92.05,0,0,4
53.8,n,42,789,47.76852798,0.0833334,42,55.03424818,92.05,0,0,4
53.8,p,42,789,47.76852798,0.0833334,42,55.03424818,92.05,0,0,4
22,n,21,133,47.32826614,6.4444496,21,21.24538408,96.82,100,60,39
22,p,21,133,47.32826614,6.4444496,21,21.24538408,96.82,100,60,39
22.1,n,21,133,47.32826614,6.4444496,21,21.24538408,96.82,100,60,39
22.1,p,21,133,47.32826614,6.4444496,21,21.24538408,96.82,100,60,39
29.5,n,30,457,46.89958954,5.6111156,30,30.55179982,89.93,90,100,25
29.5,p,30,457,46.89958954,5.6111156,30,30.55179982,89.93,90,100,25
31.8,n,30,457,46.89958954,5.6111156,30,30.55179982,89.93,90,100,25
31.8,p,30,457,46.89958954,5.6111156,30,30.55179982,89.93,90,100,25
23.5,n,20.8,47,83.31175232,1.5555568,20.8,18.36050515,89.93,40,100,25
23.5,p,20.8,47,83.31175232,1.5555568,20.8,18.36050515,89.93,40,100,25
23.7,n,20.8,47,83.31175232,1.5555568,20.8,18.36050515,89.93,40,100,25
23.7,p,20.8,47,83.31175232,1.5555568,20.8,18.36050515,89.93,40,100,25
35.6,n,29.7,692,25.21426773,7.7222284,29.7,30.75569554,0,20,80,18
35.6,p,29.7,692,25.21426773,7.7222284,29.7,30.75569554,0,20,80,18
37.7,n,29.7,692,25.21426773,7.7222284,29.7,30.75569554,0,20,80,18
37.7,p,29.7,692,25.21426773,7.7222284,29.7,30.75569554,0,20,80,18
28.2,n,27.4,549,34.03798294,2.1666684,27.4,35.51136826,67.94,30,95,50
28.2,p,27.4,549,34.03798294,2.1666684,27.4,35.51136826,67.94,30,95,50
28.3,n,27.4,549,34.03798294,2.1666684,27.4,35.51136826,67.94,30,95,50
28.3,p,27.4,549,34.03798294,2.1666684,27.4,35.51136826,67.94,30,95,50
38.5,n,34.2,794,45.12518692,0.0555556,34.2,34.36800467,93.64,1,100,5
38.5,p,34.2,794,45.12518692,0.0555556,34.2,34.36800467,93.64,1,100,5
38.5,n,34.2,794,45.12518692,0.0555556,34.2,34.36800467,93.64,1,100,5
38.5,p,34.2,794,45.12518692,0.0555556,34.2,34.36800467,93.64,1,100,5
28.3,n,28.1,847,32.97573471,1.3055566,28.1,24.55426792,93.64,0,100,10
28.3,p,28.1,847,32.97573471,1.3055566,28.1,24.55426792,93.64,0,100,10
28.7,n,28.1,847,32.97573471,1.3055566,28.1,24.55426792,93.64,0,100,10
28.7,p,28.1,847,32.97573471,1.3055566,28.1,24.55426792,93.64,0,100,10
37.1,n,32.6,802,32.58011627,0,32.6,37.74460449,79.6,0,95,5
37.1,p,32.6,802,32.58011627,0,32.6,37.74460449,79.6,0,95,5
36.5,n,32.6,802,32.58011627,0,32.6,37.74460449,79.6,0,95,5
36.5,p,32.6,802,32.58011627,0,32.6,37.74460449,79.6,0,95,5
19.5,n,19,146,43.93421173,1.1666676,19,17.59151943,93.91,100,25,52
19.5,p,19,146,43.93421173,1.1666676,19,17.59151943,93.91,100,25,52
19.3,n,19,146,43.93421173,1.1666676,19,17.59151943,93.91,100,25,52
19.3,p,19,146,43.93421173,1.1666676,19,17.59151943,93.91,100,25,52
29.9,n,32.7,861,21.79628754,7.1111168,32.7,26.14110337,0,5,100,11
29.9,p,32.7,861,21.79628754,7.1111168,32.7,26.14110337,0,5,100,11
30,n,32.7,861,21.79628754,7.1111168,32.7,26.14110337,0,5,100,11
30,p,32.7,861,21.79628754,7.1111168,32.7,26.14110337,0,5,100,11
20.8,n,20.4,652,16.33805084,10.1111192,20.4,17.90466212,94.97,60,50,28
20.8,p,20.4,652,16.33805084,10.1111192,20.4,17.90466212,94.97,60,50,28
20.4,n,20.4,652,16.33805084,10.1111192,20.4,17.90466212,94.97,60,50,28
20.4,p,20.4,652,16.33805084,10.1111192,20.4,17.90466212,94.97,60,50,28
