ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
41.3,n,22,600,25.80551147,2.0555572,22,31.47405684,0,0,2,24
41.3,p,22,600,25.80551147,2.0555572,22,31.47405684,0,0,2,24
40.7,n,22,600,25.80551147,2.0555572,22,31.47405684,0,0,2,24
40.7,p,22,600,25.80551147,2.0555572,22,31.47405684,0,0,2,24
39.1,n,34.1,656,58.41279984,0,34.1,43.95438962,0,0,5,11
39.1,p,34.1,656,58.41279984,0,34.1,43.95438962,0,0,5,11
43.5,n,34.1,656,58.41279984,0,34.1,43.95438962,0,0,5,11
43.5,p,34.1,656,58.41279984,0,34.1,43.95438962,0,0,5,11
26.6,n,22.6,559,34.26259995,5.138893,22.6,30.41273247,64.23,20,10,26
26.6,p,22.6,559,34.26259995,5.138893,22.6,30.41273247,64.23,20,10,26
29.1,n,22.6,559,34.26259995,5.138893,22.6,30.41273247,64.23,20,10,26
29.1,p,22.6,559,34.26259995,5.138893,22.6,30.41273247,64.23,20,10,26
33.5,n,34.1,776,20.22642326,1.5555568,34.1,32.63478138,0,0,20,22
33.5,p,34.1,776,20.22642326,1.5555568,34.1,32.63478138,0,0,20,22
35.3,n,34.1,776,20.22642326,1.5555568,34.1,32.63478138,0,0,20,22
35.3,p,34.1,776,20.22642326,1.5555568,34.1,32.63478138,0,0,20,22
39.2,n,34.2,728,45.12518692,4.027781,34.2,38.25730202,0,0,0,4
39.2,p,34.2,728,45.12518692,4.027781,34.2,38.25730202,0,0,0,4
39.4,n,34.2,728,45.12518692,4.027781,34.2,38.25730202,0,0,0,4
39.4,p,34.2,728,45.12518692,4.027781,34.2,38.25730202,0,0,0,4
35.8,n,31.3,309,23.80803871,0.138889,31.3,32.91812745,84.37,50,20,12
35.8,p,31.3,309,23.80803871,0.138889,31.3,32.91812745,84.37,50,20,12
33.3,n,31.3,309,23.80803871,0.138889,31.3,32.91812745,84.37,50,20,12
33.3,p,31.3,309,23.80803871,0.138889,31.3,32.91812745,84.37,50,20,12
32.3,n,32.3,245,81.32447052,0.5277782,32.3,31.96902388,83.04,0,10,6
32.3,p,32.3,245,81.32447052,0.5277782,32.3,31.96902388,83.04,0,10,6
32.3,n,32.3,245,81.32447052,0.5277782,32.3,31.96902388,83.04,0,10,6
32.3,p,32.3,245,81.32447052,0.5277782,32.3,31.96902388,83.04,0,10,6
33.2,n,33.03,285,32.38874435,3.3055582,33.03,35.18335596,0,85,0,7
33.2,p,33.03,285,32.38874435,3.3055582,33.03,35.18335596,0,85,0,7
33.6,n,33.03,285,32.38874435,3.3055582,33.03,35.18335596,0,85,0,7
33.6,p,33.03,285,32.38874435,3.3055582,33.03,35.18335596,0,85,0,7
18.2,n,18,353,43.77830505,0.3333336,18,12.98280186,86.49,5,80,42
18.2,p,18,353,43.77830505,0.3333336,18,12.98280186,86.49,5,80,42
18.4,n,18,353,43.77830505,0.3333336,18,12.98280186,86.49,5,80,42
18.4,p,18,353,43.77830505,0.3333336,18,12.98280186,86.49,5,80,42
30.5,n,31.1,628,55.52440643,3.6666696,31.1,25.43183879,0,40,100,18
30.5,p,31.1,628,55.52440643,3.6666696,31.1,25.43183879,0,40,100,18
30.6,n,31.1,628,55.52440643,3.6666696,31.1,25.43183879,0,40,100,18
30.6,p,31.1,628,55.52440643,3.6666696,31.1,25.43183879,0,40,100,18
36.7,n,35.4,864,31.17202568,1.9166682,35.4,34.28638026,83.04,0,100,19
36.7,p,35.4,864,31.17202568,1.9166682,35.4,34.28638026,83.04,0,100,19
36.2,n,35.4,864,31.17202568,1.9166682,35.4,34.28638026,83.04,0,100,19
36.2,p,35.4,864,31.17202568,1.9166682,35.4,34.28638026,83.04,0,100,19
37.1,n,37.4,670,20.703619,1.8333348,37.4,33.88957946,0,65,85,19
37.1,p,37.4,670,20.703619,1.8333348,37.4,33.88957946,0,65,85,19
37.8,n,37.4,670,20.703619,1.8333348,37.4,33.88957946,0,65,85,19
37.8,p,37.4,670,20.703619,1.8333348,37.4,33.88957946,0,65,85,19
36.8,n,36.1,615,54.9007225,1.38889,36.1,35.89601979,82.78,0,40,5
36.8,p,36.1,615,54.9007225,1.38889,36.1,35.89601979,82.78,0,40,5
36.9,n,36.1,615,54.9007225,1.38889,36.1,35.89601979,82.78,0,40,5
36.9,p,36.1,615,54.9007225,1.38889,36.1,35.89601979,82.78,0,40,5
20.6,n,20,158,42.30556107,1.0833342,20,17.98961772,82.51,95,40,48
20.6,p,20,158,42.30556107,1.0833342,20,17.98961772,82.51,95,40,48
21.1,n,20,158,42.30556107,1.0833342,20,17.98961772,82.51,95,40,48
21.1,p,20,158,42.30556107,1.0833342,20,17.98961772,82.51,95,40,48
31.8,n,30.2,765,42.1938858,3.6388918,30.2,30.252298,76.68,35,85,13
31.8,p,30.2,765,42.1938858,3.6388918,30.2,30.252298,76.68,35,85,13
31.6,n,30.2,765,42.1938858,3.6388918,30.2,30.252298,76.68,35,85,13
31.6,p,30.2,765,42.1938858,3.6388918,30.2,30.252298,76.68,35,85,13
27.8,n,26,268,29.92885399,4.2222256,26,23.27083626,83.57,80,95,21
27.8,p,26,268,29.92885399,4.2222256,26,23.27083626,83.57,80,95,21
27,n,26,268,29.92885399,4.2222256,26,23.27083626,83.57,80,95,21
27,p,26,268,29.92885399,4.2222256,26,23.27083626,83.57,80,95,21
24.4,n,24.5,411,66.69748688,2.5833354,24.5,23.28701244,83.57,80,80,20
24.4,p,24.5,411,66.69748688,2.5833354,24.5,23.28701244,83.57,80,80,20
25.6,n,24.5,411,66.69748688,2.5833354,24.5,23.28701244,83.57,80,80,20
25.6,p,24.5,411,66.69748688,2.5833354,24.5,23.28701244,83.57,80,80,20
32.8,n,29.9,846,13.72448444,0.9166674,29.9,25.80482695,89.93,20,85,20
32.8,p,29.9,846,13.72448444,0.9166674,29.9,25.80482695,89.93,20,85,20
32,n,29.9,846,13.72448444,0.9166674,29.9,25.80482695,89.93,20,85,20
32,p,29.9,846,13.72448444,0.9166674,29.9,25.80482695,89.93,20,85,20
33,n,32.5,878,41.78414536,7.9722286,32.5,29.26763602,91.8,0,100,10
33,p,32.5,878,41.78414536,7.9722286,32.5,29.26763602,91.8,0,100,10
32.5,n,32.5,878,41.78414536,7.9722286,32.5,29.26763602,91.8,0,100,10
32.5,p,32.5,878,41.78414536,7.9722286,32.5,29.26763602,91.8,0,100,10
39.5,n,39.5,841,13.32789707,0.8888896,39.5,36.41801367,89.93,15,100,5
39.5,p,39.5,841,13.32789707,0.8888896,39.5,36.41801367,89.93,15,100,5
40.4,n,39.5,841,13.32789707,0.8888896,39.5,36.41801367,89.93,15,100,5
40.4,p,39.5,841,13.32789707,0.8888896,39.5,36.41801367,89.93,15,100,5
21.5,n,21.3,117,18.50919914,2.916669,21.3,19.73137948,43.29,95,100,45
21.5,p,21.3,117,18.50919914,2.916669,21.3,19.73137948,43.29,95,100,45
21.4,n,21.3,117,18.50919914,2.916669,21.3,19.73137948,43.29,95,100,45
21.4,p,21.3,117,18.50919914,2.916669,21.3,19.73137948,43.29,95,100,45
