ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
43.3,n,30.5,677,25.80551147,2.4166686,30.5,44.87460966,36.4,0,0,21
43.3,p,30.5,677,25.80551147,2.4166686,30.5,44.87460966,36.4,0,0,21
43.4,n,30.5,677,25.80551147,2.4166686,30.5,44.87460966,36.4,0,0,21
43.4,p,30.5,677,25.80551147,2.4166686,30.5,44.87460966,36.4,0,0,21
16.4,n,13.8,186,45.68741226,10.1666748,13.8,13.23829365,25.27,40,100,39
16.4,p,13.8,186,45.68741226,10.1666748,13.8,13.23829365,25.27,40,100,39
15.6,n,13.8,186,45.68741226,10.1666748,13.8,13.23829365,25.27,40,100,39
15.6,p,13.8,186,45.68741226,10.1666748,13.8,13.23829365,25.27,40,100,39
31,n,25.5,841,24.92460823,4.4722258,25.5,25.79704828,75.62,5,100,14
31,p,25.5,841,24.92460823,4.4722258,25.5,25.79704828,75.62,5,100,14
29.8,n,25.5,841,24.92460823,4.4722258,25.5,25.79704828,75.62,5,100,14
29.8,p,25.5,841,24.92460823,4.4722258,25.5,25.79704828,75.62,5,100,14
34.8,n,34,675,57.86617661,3.1111136,34,32.73614495,12.55,0,100,11
34.8,p,34,675,57.86617661,3.1111136,34,32.73614495,12.55,0,100,11
37.1,n,34,675,57.86617661,3.1111136,34,32.73614495,12.55,0,100,11
37.1,p,34,675,57.86617661,3.1111136,34,32.73614495,12.55,0,100,11
27.7,n,24.7,844,24.35770226,1.0277786,24.7,28.11318616,37.73,0,100,16
27.7,p,24.7,844,24.35770226,1.0277786,24.7,28.11318616,37.73,0,100,16
27.8,n,24.7,844,24.35770226,1.0277786,24.7,28.11318616,37.73,0,100,16
27.8,p,24.7,844,24.35770226,1.0277786,24.7,28.11318616,37.73,0,100,16
32.6,n,27.5,295,33.38825226,0.8611118,27.5,25.60052263,0,80,80,13
32.6,p,27.5,295,33.38825226,0.8611118,27.5,25.60052263,0,80,80,13
32.5,n,27.5,295,33.38825226,0.8611118,27.5,25.60052263,0,80,80,13
32.5,p,27.5,295,33.38825226,0.8611118,27.5,25.60052263,0,80,80,13
34.5,n,26.8,849,32.77578735,4.027781,26.8,28.49448555,0,0,70,6
34.5,p,26.8,849,32.77578735,4.027781,26.8,28.49448555,0,0,70,6
34.4,n,26.8,849,32.77578735,4.027781,26.8,28.49448555,0,0,70,6
34.4,p,26.8,849,32.77578735,4.027781,26.8,28.49448555,0,0,70,6
36.03,n,36.5,595,22.51415253,4.1944478,36.5,36.62489593,85.69,55,100,4
36.03,p,36.5,595,22.51415253,4.1944478,36.5,36.62489593,85.69,55,100,4
36.2,n,36.5,595,22.51415253,4.1944478,36.5,36.62489593,85.69,55,100,4
36.2,p,36.5,595,22.51415253,4.1944478,36.5,36.62489593,85.69,55,100,4
15.8,n,17.7,287,43.77830505,1.4444456,17.7,11.43196981,67.41,5,75,49
15.8,p,17.7,287,43.77830505,1.4444456,17.7,11.43196981,67.41,5,75,49
15.9,n,17.7,287,43.77830505,1.4444456,17.7,11.43196981,67.41,5,75,49
15.9,p,17.7,287,43.77830505,1.4444456,17.7,11.43196981,67.41,5,75,49
25.2,n,27.3,811,17.45211601,0.4444448,27.3,21.09151124,29.25,20,40,17
25.2,p,27.3,811,17.45211601,0.4444448,27.3,21.09151124,29.25,20,40,17
25.9,n,27.3,811,17.45211601,0.4444448,27.3,21.09151124,29.25,20,40,17
25.9,p,27.3,811,17.45211601,0.4444448,27.3,21.09151124,29.25,20,40,17
35.1,n,36.8,692,43.77830505,2.5555576,36.8,31.64612844,0,30,100,10
35.1,p,36.8,692,43.77830505,2.5555576,36.8,31.64612844,0,30,100,10
36.6,n,36.8,692,43.77830505,2.5555576,36.8,31.64612844,0,30,100,10
36.6,p,36.8,692,43.77830505,2.5555576,36.8,31.64612844,0,30,100,10
17.7,n,17.6,144,21.56719971,1.9166682,17.6,15.64721949,62.9,100,75,42
17.7,p,17.6,144,21.56719971,1.9166682,17.6,15.64721949,62.9,100,75,42
17.7,n,17.6,144,21.56719971,1.9166682,17.6,15.64721949,62.9,100,75,42
17.7,p,17.6,144,21.56719971,1.9166682,17.6,15.64721949,62.9,100,75,42
34.2,n,33.2,883,20.91147804,2.6111132,33.2,30.19466954,0,30,90,20
34.2,p,33.2,883,20.91147804,2.6111132,33.2,30.19466954,0,30,90,20
34.5,n,33.2,883,20.91147804,2.6111132,33.2,30.19466954,0,30,90,20
34.5,p,33.2,883,20.91147804,2.6111132,33.2,30.19466954,0,30,90,20
22,n,21.4,236,42.91959381,3.6944474,21.4,20.13826187,91.26,85,90,44
22,p,21.4,236,42.91959381,3.6944474,21.4,20.13826187,91.26,85,90,44
22.7,n,21.4,236,42.91959381,3.6944474,21.4,20.13826187,91.26,85,90,44
22.7,p,21.4,236,42.91959381,3.6944474,21.4,20.13826187,91.26,85,90,44
39.5,n,37.7,780,42.54004669,0.7222228,37.7,37.94372736,72.71,0,40,5
39.5,p,37.7,780,42.54004669,0.7222228,37.7,37.94372736,72.71,0,40,5
41,n,37.7,780,42.54004669,0.7222228,37.7,37.94372736,72.71,0,40,5
41,p,37.7,780,42.54004669,0.7222228,37.7,37.94372736,72.71,0,40,5
26.1,n,24.9,306,19.74681091,2.6666688,24.9,20.48718658,1.16,95,100,36
26.1,p,24.9,306,19.74681091,2.6666688,24.9,20.48718658,1.16,95,100,36
25.5,n,24.9,306,19.74681091,2.6666688,24.9,20.48718658,1.16,95,100,36
25.5,p,24.9,306,19.74681091,2.6666688,24.9,20.48718658,1.16,95,100,36
36.9,n,31.9,620,30.0491333,0.9444452,31.9,36.04191804,69.79,50,98,11
36.9,p,31.9,620,30.0491333,0.9444452,31.9,36.04191804,69.79,50,98,11
35.3,n,31.9,620,30.0491333,0.9444452,31.9,36.04191804,69.79,50,98,11
35.3,p,31.9,620,30.0491333,0.9444452,31.9,36.04191804,69.79,50,98,11
23.9,n,23.8,326,78.76704407,3.9444476,23.8,24.26286585,69.79,70,95,23
23.9,p,23.8,326,78.76704407,3.9444476,23.8,24.26286585,69.79,70,95,23
24.2,n,23.8,326,78.76704407,3.9444476,23.8,24.26286585,69.79,70,95,23
24.2,p,23.8,326,78.76704407,3.9444476,23.8,24.26286585,69.79,70,95,23
34.2,n,31.8,853,41.88103485,2.0555572,31.8,29.72050759,69.79,30,85,12
34.2,p,31.8,853,41.88103485,2.0555572,31.8,29.72050759,69.79,30,85,12
33.4,n,31.8,853,41.88103485,2.0555572,31.8,29.72050759,69.79,30,85,12
33.4,p,31.8,853,41.88103485,2.0555572,31.8,29.72050759,69.79,30,85,12
36.6,n,33.9,894,18.93055725,3.5833362,33.9,35.16627095,11.8,0,0,15
36.6,p,33.9,894,18.93055725,3.5833362,33.9,35.16627095,11.8,0,0,15
34.7,n,33.9,894,18.93055725,3.5833362,33.9,35.16627095,11.8,0,0,15
34.7,p,33.9,894,18.93055725,3.5833362,33.9,35.16627095,11.8,0,0,15
43.6,n,43,865,18.78437424,1.5000012,43,38.60642204,79.33,25,60,5
43.6,p,43,865,18.78437424,1.5000012,43,38.60642204,79.33,25,60,5
