ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
47.8,n,35.5,759,31.35732651,9.305563,35.5,43.72561964,0,0,0,5
47.8,p,35.5,759,31.35732651,9.305563,35.5,43.72561964,0,0,0,5
46,n,35.5,759,31.35732651,9.305563,35.5,43.72561964,0,0,0,5
46,p,35.5,759,31.35732651,9.305563,35.5,43.72561964,0,0,0,5
35.9,n,26.9,460,61.47214127,1.0833342,26.9,37.43771515,94.8,0,50,16
35.9,p,26.9,460,61.47214127,1.0833342,26.9,37.43771515,94.8,0,50,16
38.8,n,26.9,460,61.47214127,1.0833342,26.9,37.43771515,94.8,0,50,16
38.8,p,26.9,460,61.47214127,1.0833342,26.9,37.43771515,94.8,0,50,16
21.5,n,21,399,60.8215332,5.5833378,21,19.26250455,100,70,100,23
21.5,p,21,399,60.8215332,5.5833378,21,19.26250455,100,70,100,23
22.2,n,21,399,60.8215332,5.5833378,21,19.26250455,100,70,100,23
22.2,p,21,399,60.8215332,5.5833378,21,19.26250455,100,70,100,23
19.1,n,15.5,376,37.2453537,4.0833366,15.5,14.62317013,93.24,90,100,37
19.1,p,15.5,376,37.2453537,4.0833366,15.5,14.62317013,93.24,90,100,37
19.6,n,15.5,376,37.2453537,4.0833366,15.5,14.62317013,93.24,90,100,37
19.6,p,15.5,376,37.2453537,4.0833366,15.5,14.62317013,93.24,90,100,37
35.8,n,31.6,328,23.66123772,0.5833338,31.6,32.74965184,71.92,100,10,16
35.8,p,31.6,328,23.66123772,0.5833338,31.6,32.74965184,71.92,100,10,16
35.4,n,31.6,328,23.66123772,0.5833338,31.6,32.74965184,71.92,100,10,16
35.4,p,31.6,328,23.66123772,0.5833338,31.6,32.74965184,71.92,100,10,16
23.7,n,23.3,656,58.79037476,2.5555576,23.3,22.62624515,85.44,10,100,12
23.7,p,23.3,656,58.79037476,2.5555576,23.3,22.62624515,85.44,10,100,12
23.2,n,23.3,656,58.79037476,2.5555576,23.3,22.62624515,85.44,10,100,12
23.2,p,23.3,656,58.79037476,2.5555576,23.3,22.62624515,85.44,10,100,12
20.8,n,17.7,453,34.9597702,0,17.7,15.43622366,85.44,0,70,30
20.8,p,17.7,453,34.9597702,0,17.7,15.43622366,85.44,0,70,30
20.4,n,17.7,453,34.9597702,0,17.7,15.43622366,85.44,0,70,30
20.4,p,17.7,453,34.9597702,0,17.7,15.43622366,85.44,0,70,30
