ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
40.5,n,36.3,715,39.485569,2.1388906,36.3,35.19883948,40.46,10,50,4
40.5,p,36.3,715,39.485569,2.1388906,36.3,35.19883948,40.46,10,50,4
40.2,n,36.3,715,39.485569,2.1388906,36.3,35.19883948,40.46,10,50,4
40.2,p,36.3,715,39.485569,2.1388906,36.3,35.19883948,40.46,10,50,4
28.3,n,25.3,438,39.19643021,0,25.3,25.39865136,65.94,90,100,32
28.3,p,25.3,438,39.19643021,0,25.3,25.39865136,65.94,90,100,32
29,n,25.3,438,39.19643021,0,25.3,25.39865136,65.94,90,100,32
29,p,25.3,438,39.19643021,0,25.3,25.39865136,65.94,90,100,32
30.3,n,24.5,798,37.78887177,0.7222228,24.5,27.003874,73.48,50,0,11
30.3,p,24.5,798,37.78887177,0.7222228,24.5,27.003874,73.48,50,0,11
30,n,24.5,798,37.78887177,0.7222228,24.5,27.003874,73.48,50,0,11
30,p,24.5,798,37.78887177,0.7222228,24.5,27.003874,73.48,50,0,11
25,n,21.3,326,47.11244965,2.0277794,21.3,21.20555773,76.34,95,20,46
25,p,21.3,326,47.11244965,2.0277794,21.3,21.20555773,76.34,95,20,46
25.4,n,21.3,326,47.11244965,2.0277794,21.3,21.20555773,76.34,95,20,46
25.4,p,21.3,326,47.11244965,2.0277794,21.3,21.20555773,76.34,95,20,46
21.8,n,19.4,678,26.41197777,2.4722242,19.4,19.49670019,51.64,5,100,20
21.8,p,19.4,678,26.41197777,2.4722242,19.4,19.49670019,51.64,5,100,20
22.3,n,19.4,678,26.41197777,2.4722242,19.4,19.49670019,51.64,5,100,20
22.3,p,19.4,678,26.41197777,2.4722242,19.4,19.49670019,51.64,5,100,20
31,n,27.7,791,34.7235527,0.138889,27.7,27.74754999,51.64,0,100,13
31,p,27.7,791,34.7235527,0.138889,27.7,27.74754999,51.64,0,100,13
31.2,n,27.7,791,34.7235527,0.138889,27.7,27.74754999,51.64,0,100,13
31.2,p,27.7,791,34.7235527,0.138889,27.7,27.74754999,51.64,0,100,13
28.3,n,27,714,20.88703728,0.8055562,27,32.46107403,3.8,20,100,20
28.3,p,27,714,20.88703728,0.8055562,27,32.46107403,3.8,20,100,20
28,n,27,714,20.88703728,0.8055562,27,32.46107403,3.8,20,100,20
28,p,27,714,20.88703728,0.8055562,27,32.46107403,3.8,20,100,20
33.8,n,33,829,33.81734848,0.138889,33,38.24215527,77.38,0,100,13
33.8,p,33,829,33.81734848,0.138889,33,38.24215527,77.38,0,100,13
35.5,n,33,829,33.81734848,0.138889,33,38.24215527,77.38,0,100,13
35.5,p,33,829,33.81734848,0.138889,33,38.24215527,77.38,0,100,13
23,n,23,171,44.944561,0,23,19.7637625,97.14,98,90,23
23,p,23,171,44.944561,0,23,19.7637625,97.14,98,90,23
23.2,n,23,171,44.944561,0,23,19.7637625,97.14,98,90,23
23.2,p,23,171,44.944561,0,23,19.7637625,97.14,98,90,23
39.8,n,33.2,742,23.80803871,0.7777784,33.2,32.28311381,23.3,0,50,6
39.8,p,33.2,742,23.80803871,0.7777784,33.2,32.28311381,23.3,0,50,6
38.9,n,33.2,742,23.80803871,0.7777784,33.2,32.28311381,23.3,0,50,6
38.9,p,33.2,742,23.80803871,0.7777784,33.2,32.28311381,23.3,0,50,6
38.1,n,37.7,637,57.17604828,1.250001,37.7,40.25764653,52.68,20,5,6
38.1,p,37.7,637,57.17604828,1.250001,37.7,40.25764653,52.68,20,5,6
38.7,n,37.7,637,57.17604828,1.250001,37.7,40.25764653,52.68,20,5,6
38.7,p,37.7,637,57.17604828,1.250001,37.7,40.25764653,52.68,20,5,6
33.5,n,29.4,431,81.32447052,0,29.4,31.4897478,92.46,0,10,5
33.5,p,29.4,431,81.32447052,0,29.4,31.4897478,92.46,0,10,5
34.6,n,29.4,431,81.32447052,0,29.4,31.4897478,92.46,0,10,5
34.6,p,29.4,431,81.32447052,0,29.4,31.4897478,92.46,0,10,5
29.9,n,29.7,302,44.09370804,0.7500006,29.7,31.66978804,22.78,75,100,8
29.9,p,29.7,302,44.09370804,0.7500006,29.7,31.66978804,22.78,75,100,8
30,n,29.7,302,44.09370804,0.7500006,29.7,31.66978804,22.78,75,100,8
30,p,29.7,302,44.09370804,0.7500006,29.7,31.66978804,22.78,75,100,8
20.6,n,20.5,540,32.01906204,2.3888908,20.5,15.91589389,51.9,30,100,26
20.6,p,20.5,540,32.01906204,2.3888908,20.5,15.91589389,51.9,30,100,26
21.6,n,20.5,540,32.01906204,2.3888908,20.5,15.91589389,51.9,30,100,26
21.6,p,20.5,540,32.01906204,2.3888908,20.5,15.91589389,51.9,30,100,26
28.1,n,26,668,31.33252907,2.5277798,26,30.40080909,40.46,60,100,24
28.1,p,26,668,31.33252907,2.5277798,26,30.40080909,40.46,60,100,24
26.9,n,26,668,31.33252907,2.5277798,26,30.40080909,40.46,60,100,24
26.9,p,26,668,31.33252907,2.5277798,26,30.40080909,40.46,60,100,24
21.3,n,20.7,415,31.17202568,0.5000004,20.7,17.60435065,40.46,60,100,32
21.3,p,20.7,415,31.17202568,0.5000004,20.7,17.60435065,40.46,60,100,32
21.8,n,20.7,415,31.17202568,0.5000004,20.7,17.60435065,40.46,60,100,32
21.8,p,20.7,415,31.17202568,0.5000004,20.7,17.60435065,40.46,60,100,32
39.5,n,40.1,891,30.71736908,1.7777792,40.1,38.35710932,40.46,20,100,11
39.5,p,40.1,891,30.71736908,1.7777792,40.1,38.35710932,40.46,20,100,11
40.5,n,40.1,891,30.71736908,1.7777792,40.1,38.35710932,40.46,20,100,11
40.5,p,40.1,891,30.71736908,1.7777792,40.1,38.35710932,40.46,20,100,11
36,n,36.4,466,19.92704391,1.8333348,36.4,37.71649709,3.54,95,100,6
36,p,36.4,466,19.92704391,1.8333348,36.4,37.71649709,3.54,95,100,6
35.8,n,36.4,466,19.92704391,1.8333348,36.4,37.71649709,3.54,95,100,6
35.8,p,36.4,466,19.92704391,1.8333348,36.4,37.71649709,3.54,95,100,6
23.6,n,22.4,610,30.1738472,1.1666676,22.4,20.53187005,40.46,30,100,27
23.6,p,22.4,610,30.1738472,1.1666676,22.4,20.53187005,40.46,30,100,27
24,n,22.4,610,30.1738472,1.1666676,22.4,20.53187005,40.46,30,100,27
24,p,22.4,610,30.1738472,1.1666676,22.4,20.53187005,40.46,30,100,27
36,n,33.3,506,42.08590698,3.5000028,33.3,34.96551642,72.44,60,50,12
36,p,33.3,506,42.08590698,3.5000028,33.3,34.96551642,72.44,60,50,12
36.7,n,33.3,506,42.08590698,3.5000028,33.3,34.96551642,72.44,60,50,12
36.7,p,33.3,506,42.08590698,3.5000028,33.3,34.96551642,72.44,60,50,12
26.5,n,24.5,611,13.93234921,2.1388906,24.5,23.80173215,46.96,75,5,22
26.5,p,24.5,611,13.93234921,2.1388906,24.5,23.80173215,46.96,75,5,22
29.1,n,24.5,611,13.93234921,2.1388906,24.5,23.80173215,46.96,75,5,22
29.1,p,24.5,611,13.93234921,2.1388906,24.5,23.80173215,46.96,75,5,22
32.5,n,29.5,786,41.88103485,1.9166682,29.5,26.88574068,74,0,5,9
32.5,p,29.5,786,41.88103485,1.9166682,29.5,26.88574068,74,0,5,9
31,n,29.5,786,41.88103485,1.9166682,29.5,26.88574068,74,0,5,9
31,p,29.5,786,41.88103485,1.9166682,29.5,26.88574068,74,0,5,9
37.6,n,37.8,658,29.59448433,2.1388906,37.8,32.5320509,37.6,0,40,11
37.6,p,37.8,658,29.59448433,2.1388906,37.8,32.5320509,37.6,0,40,11
39.6,n,37.8,658,29.59448433,2.1388906,37.8,32.5320509,37.6,0,40,11
39.6,p,37.8,658,29.59448433,2.1388906,37.8,32.5320509,37.6,0,40,11
