ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
42.2,n,37.2,450,50.1263504,8.5555624,37.2,39.38108467,0,30,100,4
42.2,p,37.2,450,50.1263504,8.5555624,37.2,39.38108467,0,30,100,4
41,n,37.2,450,50.1263504,8.5555624,37.2,39.38108467,0,30,100,4
41,p,37.2,450,50.1263504,8.5555624,37.2,39.38108467,0,30,100,4
35.5,n,25.1,577,27.73885536,5.0555596,25.1,26.49649837,0,70,95,25
35.5,p,25.1,577,27.73885536,5.0555596,25.1,26.49649837,0,70,95,25
35.9,n,25.1,577,27.73885536,5.0555596,25.1,26.49649837,0,70,95,25
35.9,p,25.1,577,27.73885536,5.0555596,25.1,26.49649837,0,70,95,25
39.9,n,32.8,623,49.39369202,4.6666704,32.8,32.18331041,0,0,85,5
39.9,p,32.8,623,49.39369202,4.6666704,32.8,32.18331041,0,0,85,5
40,n,32.8,623,49.39369202,4.6666704,32.8,32.18331041,0,0,85,5
40,p,32.8,623,49.39369202,4.6666704,32.8,32.18331041,0,0,85,5
23.8,n,20.8,608,29.30606842,4.444448,20.8,18.25786928,49.65,5,80,24
23.8,p,20.8,608,29.30606842,4.444448,20.8,18.25786928,49.65,5,80,24
23.9,n,20.8,608,29.30606842,4.444448,20.8,18.25786928,49.65,5,80,24
23.9,p,20.8,608,29.30606842,4.444448,20.8,18.25786928,49.65,5,80,24
32.4,n,25,827,28.64190674,6.7222276,25,31.18762832,0,10,10,16
32.4,p,25,827,28.64190674,6.7222276,25,31.18762832,0,10,10,16
35.8,n,25,827,28.64190674,6.7222276,25,31.18762832,0,10,10,16
35.8,p,25,827,28.64190674,6.7222276,25,31.18762832,0,10,10,16
36.3,n,39,819,36.71403122,1.6388902,39,44.49591946,0,0,60,4
36.3,p,39,819,36.71403122,1.6388902,39,44.49591946,0,0,60,4
40.9,n,39,819,36.71403122,1.6388902,39,44.49591946,0,0,60,4
40.9,p,39,819,36.71403122,1.6388902,39,44.49591946,0,0,60,4
32.6,n,26.1,423,36.19555664,5.833338,26.1,27.75997007,64.23,70,0,22
32.6,p,26.1,423,36.19555664,5.833338,26.1,27.75997007,64.23,70,0,22
32.8,n,26.1,423,36.19555664,5.833338,26.1,27.75997007,64.23,70,0,22
32.8,p,26.1,423,36.19555664,5.833338,26.1,27.75997007,64.23,70,0,22
27.4,n,22.6,457,35.69058609,5.3888932,22.6,26.55818794,0,60,60,24
27.4,p,22.6,457,35.69058609,5.3888932,22.6,26.55818794,0,60,60,24
