"","V1","V2"
"200",146.51875,-29.40125
"201",147.11875,-22.20125
"202",147.11875,-24.60125
"203",147.11875,-20.40125
"204",147.11875,-21.60125
"205",147.11875,-22.80125
"206",147.11875,-19.80125
"207",147.11875,-23.40125
"208",146.51875,-30.60125
"209",146.51875,-30.00125
"210",147.11875,-24.00125
"211",147.11875,-21.00125
"212",145.31875,-41.40125
"213",145.91875,-36.60125
"214",145.91875,-37.20125
"215",146.51875,-27.00125
"216",145.91875,-34.20125
"217",145.91875,-34.80125
"218",146.51875,-27.60125
"219",146.51875,-25.80125
"220",145.91875,-35.40125
"221",146.51875,-24.00125
"222",146.51875,-24.60125
"223",145.91875,-36.00125
"224",146.51875,-23.40125
"225",145.91875,-33.60125
"226",146.51875,-28.80125
"227",146.51875,-28.20125
"228",146.51875,-26.40125
"229",146.51875,-20.40125
"230",146.51875,-25.20125
"231",146.51875,-21.60125
"232",145.31875,-37.80125
"233",146.51875,-22.20125
"234",146.51875,-22.80125
"235",146.51875,-19.80125
"236",146.51875,-19.20125
"237",146.51875,-21.00125
"238",145.91875,-33.00125
"239",145.91875,-32.40125
"240",145.91875,-31.80125
"241",145.91875,-30.00125
"242",145.91875,-25.80125
"243",145.91875,-28.20125
"244",145.91875,-31.20125
"245",145.91875,-26.40125
"246",145.91875,-25.20125
"247",145.91875,-30.60125
"248",145.91875,-24.00125
"249",145.91875,-29.40125
"250",145.31875,-36.00125
"251",145.91875,-24.60125
"252",145.91875,-19.20125
"253",145.91875,-27.60125
"254",145.91875,-28.80125
"255",145.91875,-19.80125
"256",145.91875,-18.00125
"257",145.91875,-20.40125
"258",145.91875,-27.00125
"259",145.91875,-18.60125
"260",145.31875,-35.40125
"261",145.91875,-21.00125
"262",145.91875,-17.40125
"263",145.91875,-23.40125
"264",145.91875,-22.80125
"265",145.31875,-34.20125
"266",145.91875,-22.20125
"267",145.31875,-34.80125
"268",144.71875,-37.20125
"269",145.31875,-33.00125
"270",144.71875,-37.80125
"271",145.31875,-33.60125
"272",145.31875,-31.80125
"273",144.11875,-38.40125
"274",145.31875,-30.60125
"275",145.31875,-30.00125
"276",144.71875,-36.60125
"277",145.31875,-29.40125
"278",145.31875,-28.80125
"279",145.31875,-27.00125
"280",145.31875,-28.20125
"281",145.31875,-31.20125
"282",145.31875,-26.40125
"283",145.31875,-25.80125
"284",144.11875,-37.80125
"285",144.71875,-36.00125
"286",144.71875,-35.40125
"287",145.31875,-27.60125
"288",145.31875,-25.20125
"289",145.31875,-21.00125
"290",144.71875,-34.80125
"291",145.31875,-22.80125
"292",144.11875,-37.20125
"293",145.31875,-17.40125
"294",144.71875,-34.20125
"295",145.31875,-19.80125
"296",145.31875,-20.40125
"297",144.11875,-36.60125
"298",145.31875,-22.20125
"299",144.71875,-33.60125
"300",144.71875,-31.80125
"301",144.71875,-33.00125
"302",145.31875,-24.00125
"303",144.71875,-32.40125
"304",145.31875,-18.00125
"305",145.31875,-24.60125
"306",144.71875,-31.20125
"307",144.71875,-30.60125
"308",145.31875,-21.60125
"309",145.31875,-18.60125
"310",145.31875,-23.40125
"311",145.31875,-15.00125
"312",145.31875,-16.80125
"313",145.31875,-19.20125
"314",144.71875,-28.20125
"315",144.71875,-30.00125
"316",145.31875,-16.20125
"317",144.71875,-27.60125
"318",144.71875,-26.40125
"319",144.71875,-27.00125
"320",144.71875,-25.80125
"321",144.71875,-29.40125
"322",144.71875,-25.20125
"323",144.71875,-28.80125
"324",144.71875,-22.20125
"325",144.71875,-24.00125
"326",144.71875,-21.60125
"327",144.71875,-19.80125
"328",144.71875,-24.60125
"329",144.71875,-17.40125
"330",144.71875,-16.20125
"331",144.11875,-36.00125
"332",144.71875,-22.80125
"333",144.71875,-16.80125
"334",144.71875,-23.40125
"335",144.71875,-20.40125
"336",145.31875,-37.20125
"337",144.71875,-15.60125
"338",144.71875,-21.00125
"339",144.71875,-18.60125
"340",144.71875,-19.20125
"341",144.71875,-15.00125
"342",144.11875,-35.40125
"343",144.71875,-18.00125
"344",145.31875,-36.60125
"345",144.11875,-31.80125
"346",144.11875,-33.00125
"347",144.11875,-33.60125
"348",144.11875,-32.40125
"349",144.11875,-30.60125
"350",144.11875,-34.80125
"351",144.11875,-31.20125
"352",144.11875,-34.20125
"353",145.31875,-32.40125
"354",144.11875,-29.40125
"355",143.51875,-38.40125
"356",144.11875,-30.00125
"357",144.11875,-28.80125
"358",144.11875,-26.40125
"359",144.11875,-25.20125
"360",144.11875,-25.80125
"361",144.11875,-27.00125
"362",143.51875,-37.80125
"363",144.11875,-24.60125
"364",144.11875,-28.20125
"365",144.11875,-27.60125
"366",143.51875,-37.20125
"367",143.51875,-36.60125
"368",144.11875,-22.80125
"369",144.11875,-23.40125
"370",144.11875,-24.00125
"371",144.11875,-21.60125
"372",144.11875,-21.00125
"373",144.11875,-20.40125
"374",144.11875,-19.80125
"375",144.11875,-22.20125
"376",144.11875,-18.60125
"377",144.11875,-19.20125
"378",144.11875,-17.40125
"379",143.51875,-34.20125
"380",143.51875,-35.40125
"381",144.11875,-16.80125
"382",143.51875,-36.00125
"383",144.11875,-15.60125
"384",143.51875,-31.80125
"385",143.51875,-32.40125
"386",144.11875,-15.00125
"387",143.51875,-34.80125
"388",144.11875,-16.20125
"389",143.51875,-31.20125
"390",144.11875,-18.00125
"391",143.51875,-33.00125
"392",143.51875,-30.60125
"393",143.51875,-33.60125
"394",143.51875,-29.40125
"395",143.51875,-26.40125
"396",143.51875,-28.80125
"397",143.51875,-28.20125
"398",143.51875,-27.00125
