"","JULDAY","TIME","D0cm","D1.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",1,0,13.2941093444824,18.4939575195312,26.327184677124,28.7361354827881,29.3099136352539,28.9617214202881,28.0164165496826,26.6346244812012,22.8743762969971,17.7367477416992
"2",1,60,15.9504804611206,18.4973011016846,25.4134292602539,27.9882640838623,28.9053802490234,28.8657684326172,28.0307464599609,26.6329593658447,22.8778476715088,17.7367477416992
"3",1,120,16.2463836669922,18.6909961700439,24.7991104125977,27.3437042236328,28.50146484375,28.7373657226562,28.0358142852783,26.6315021514893,22.8812999725342,17.7367477416992
"4",1,180,16.6564311981201,18.7996921539307,24.3477516174316,26.8094749450684,28.1221790313721,28.5861740112305,28.030689239502,26.6300964355469,22.8847332000732,17.7367477416992
"5",1,240,17.1454925537109,18.972339630127,24.004602432251,26.3683032989502,27.7771415710449,28.4215641021729,28.0151882171631,26.6285820007324,22.888147354126,17.7367477416992
"6",1,300,17.2587070465088,19.0846385955811,23.7490043640137,26.0028877258301,27.4683818817139,28.2511005401611,27.989725112915,26.6268081665039,22.8915424346924,17.7367477416992
"7",1,360,17.7457695007324,19.3631954193115,23.539493560791,25.6972274780273,27.1930294036865,28.0803756713867,27.9551162719727,26.6246318817139,22.8949165344238,17.7367477416992
"8",1,420,21.0669574737549,20.0520057678223,23.4599018096924,25.4519863128662,26.948657989502,27.9130935668945,27.9123992919922,26.6219310760498,22.8982715606689,17.7367477416992
"9",1,480,24.4650115966797,21.6306056976318,23.6008949279785,25.293607711792,26.7410545349121,27.7521114349365,27.8627262115479,26.6186008453369,22.9016017913818,17.7367477416992
"10",1,540,28.3710346221924,23.8294696807861,24.0247249603271,25.2602233886719,26.5822048187256,27.6012535095215,27.8073387145996,26.614559173584,22.9049091339111,17.7367477416992
"11",1,600,32.1636619567871,26.417293548584,24.7272338867188,25.3782329559326,26.4884834289551,27.4655704498291,27.7476577758789,26.6097450256348,22.9081859588623,17.7367477416992
"12",1,660,35.2528457641602,29.0596199035645,25.6507949829102,25.653284072876,26.4727821350098,27.3511428833008,27.6853446960449,26.604118347168,22.9114379882812,17.7367477416992
"13",1,720,37.2514190673828,31.4214706420898,26.6954727172852,26.0664863586426,26.539945602417,27.2639427185059,27.6223030090332,26.5976734161377,22.9146537780762,17.7367477416992
"14",1,780,38.0279731750488,33.294303894043,27.7486572265625,26.5781631469727,26.6844940185547,27.2084980010986,27.5606117248535,26.5904312133789,22.917839050293,17.7367477416992
"15",1,840,38.2313613891602,34.4095344543457,28.7127857208252,27.13743019104,26.891622543335,27.1868171691895,27.5023632049561,26.5824451446533,22.9209899902344,17.7367477416992
"16",1,900,36.6816825866699,34.7032661437988,29.4782066345215,27.688159942627,27.1395587921143,27.1978893280029,27.4494705200195,26.5738010406494,22.9241027832031,17.7367477416992
"17",1,960,33.7824783325195,34.0749320983887,29.9564304351807,28.1711959838867,27.4014644622803,27.2375965118408,27.4034824371338,26.564603805542,22.9271774291992,17.7367477416992
"18",1,1020,30.0555019378662,32.5613327026367,30.0850448608398,28.5314083099365,27.647762298584,27.2989063262939,27.3653964996338,26.5549793243408,22.930212020874,17.7367477416992
"19",1,1080,25.9912185668945,30.3459224700928,29.8463764190674,28.7257862091064,27.8494129180908,27.3724384307861,27.3355560302734,26.5450611114502,22.9332046508789,17.7367477416992
"20",1,1140,22.2000160217285,27.7062015533447,29.2699337005615,28.7308406829834,27.9818458557129,27.4473819732666,27.3135719299316,26.5349769592285,22.9361572265625,17.7367477416992
"21",1,1200,20.2677688598633,25.1657485961914,28.4458694458008,28.5479640960693,28.0286064147949,27.5127391815186,27.2983455657959,26.5248432159424,22.9390659332275,17.7367477416992
"22",1,1260,18.4312000274658,23.2898578643799,27.5358543395996,28.2157821655273,27.9858932495117,27.5588035583496,27.2881774902344,26.5147533416748,22.9419345855713,17.7367477416992
