"","JULDAY","TIME","D0cm","D1.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",1,0,11.2967967987061,17.1083202362061,24.2328681945801,25.423318862915,24.0486717224121,21.5632171630859,18.9419250488281,17.8021717071533,17.7371082305908,17.7367477416992
"2",1,60,11.3765048980713,15.9673738479614,22.8558902740479,24.3827724456787,23.5651054382324,21.5768795013428,19.080982208252,17.8198318481445,17.7373142242432,17.7367477416992
"3",1,120,10.9128923416138,15.1869516372681,21.7115516662598,23.4416790008545,23.07004737854,21.5316600799561,19.205509185791,17.8390941619873,17.7375717163086,17.7367477416992
"4",1,180,9.88726425170898,14.3701581954956,20.7292728424072,22.5999965667725,22.5844821929932,21.4414310455322,19.3135452270508,17.859691619873,17.7378845214844,17.7367477416992
"5",1,240,9.18019485473633,13.4545860290527,19.8309688568115,21.8377838134766,22.1177024841309,21.3183307647705,19.4041919708252,17.8813438415527,17.7382526397705,17.7367477416992
"6",1,300,10.5409708023071,12.9899053573608,19.0379314422607,21.1351947784424,21.6704864501953,21.171838760376,19.4773578643799,17.9037666320801,17.7386837005615,17.7367477416992
"7",1,360,19.9948196411133,14.8010272979736,18.5528507232666,20.526538848877,21.2466773986816,21.0090351104736,19.533504486084,17.926685333252,17.7391719818115,17.7367477416992
"8",1,420,32.8794746398926,20.1095314025879,18.9519100189209,20.1464767456055,20.8751163482666,20.83740234375,19.5734977722168,17.9498462677002,17.7397289276123,17.7367477416992
"9",1,480,45.2165908813477,27.4885692596436,20.4179401397705,20.1831302642822,20.6228580474854,20.6697330474854,19.5987663269043,17.9730110168457,17.7403469085693,17.7367477416992
"10",1,540,55.7347259521484,35.5869331359863,22.7803401947021,20.727144241333,20.5628032684326,20.526346206665,19.6117115020752,17.9959774017334,17.7410259246826,17.7367477416992
"11",1,600,63.7593688964844,43.2360649108887,25.7398929595947,21.7606239318848,20.7404384613037,20.4312362670898,19.6160087585449,18.018590927124,17.7417659759521,17.7367477416992
"12",1,660,68.1042709350586,49.4754791259766,28.9206218719482,23.1838874816895,21.1629199981689,20.4062271118164,19.6165256500244,18.0407657623291,17.7425670623779,17.7367477416992
"13",1,720,68.6605529785156,53.6872482299805,31.934534072876,24.8397064208984,21.7998065948486,20.4661121368408,19.6188850402832,18.0625,17.7434234619141,17.7367477416992
