"","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","TS","T2","TDEEP","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"1",1,0,13.1382474899292,14.4726867675781,32.189525604248,29.5148010253906,0.432819873094559,1.58531546592712,11.2967967987061,17.1083202362061,17.7367477416992,90,0,-10.0010070800781,0,0,0,0
"2",1,60,13.5359115600586,15.24169921875,37.3914489746094,33.4837493896484,0.331147283315659,1.21291303634644,11.3765048980713,15.9673738479614,17.7367477416992,90,0,-7.82476806640625,0,0,0,0
"3",1,120,13.1252107620239,15.0822143554688,42.5212364196777,37.4526977539062,0.229474693536758,0.840510845184326,10.9128923416138,15.1869516372681,17.7367477416992,90,0,-7.11968994140625,0,0,0,0
"4",1,180,12.1999063491821,14.96630859375,49.5986061096191,41.4216461181641,0.0764785557985306,0.280122637748718,9.88726425170898,14.3701581954956,17.7367477416992,90,0,-6.44061279296875,0,0,0,0
"5",1,240,11.519681930542,14.8820190429688,59.0351028442383,47.3940925598145,0.0341303423047066,0.125011280179024,9.18019485473633,13.4545860290527,17.7367477416992,90,0.0055022151209414,-5.4183349609375,0,0,0,0
"6",1,300,12.6145305633545,14.8316650390625,54.7472534179688,47.3940925598145,0.118022657930851,0.432288706302643,10.5409708023071,12.9899053573608,17.7367477416992,87.9769515991211,23.2878723144531,-5.54144287109375,0,0,0,0
"7",1,360,18.0218181610107,16.2087707519531,39.8215484619141,44.6677856445312,0.201914981007576,0.739566147327423,19.9948196411133,14.8010272979736,17.7367477416992,76.9993896484375,208.967102050781,-3.93963623046875,0,0,0,0
"8",1,420,25.1651782989502,18.7836303710938,26.5322742462158,39.1624069213867,0.285807281732559,1.04684352874756,32.8794746398926,20.1095314025879,17.7367477416992,65.1729736328125,429.064025878906,-1.24282836914062,0,0,0,0
"9",1,480,32.1634292602539,22.2080383300781,18.7720127105713,33.6570281982422,0.369699597358704,1.35412096977234,45.2165908813477,27.4885692596436,17.7367477416992,53.021484375,643.163146972656,2.4930419921875,0,0,0,0
"10",1,540,38.3935928344727,26.01904296875,13.9935894012451,28.1516513824463,0.453591823577881,1.66139829158783,55.7347259521484,35.5869331359863,17.7367477416992,40.756649017334,838.062866210938,6.49295043945312,0,0,0,0
"11",1,600,43.4191436767578,29.7013244628906,10.6932191848755,22.6462726593018,0.537484169006348,1.96867573261261,63.7593688964844,43.2360649108887,17.7367477416992,28.6969032287598,975.964965820312,9.87759399414062,0,0,0,0
"12",1,660,46.5784301757812,32.757080078125,5.55678272247314,11.6355123519897,0.62137645483017,2.2759530544281,68.1042709350586,49.4754791259766,17.7367477416992,17.7477378845215,1059.11450195312,8.1912841796875,0,0,0,0
"13",1,720,47.362907409668,34.7730712890625,5.97603750228882,11.6355123519897,0.789161145687103,2.89050817489624,68.6605529785156,53.6872482299805,17.7367477416992,12.0215253829956,1091.01708984375,11.0384216308594,0,0,0,0
"14",1,780,48.0286521911621,35.476806640625,6.77713298797607,13.1254529953003,0.789161145687103,2.89050817489624,69.2620315551758,56.2416877746582,17.7367477416992,17.7477378845215,1060.39514160156,13.1435852050781,0,0,0,0
"15",1,840,46.9911155700684,34.7730712890625,7.64914321899414,14.6153936386108,0.756766438484192,2.77185416221619,67.3593521118164,57.4939041137695,17.7367477416992,28.6969032287598,969.660522460938,13.1370239257812,0,0,0,0
"16",1,900,43.9881362915039,32.7570495605469,8.78484725952148,16.1053352355957,0.72437185049057,2.65320038795471,62.4282684326172,56.9855995178223,17.7367477416992,40.756649017334,829.978393554688,11.1513977050781,0,0,0,0
"17",1,960,39.0966453552246,29.7013244628906,10.439492225647,17.5952758789062,0.691977143287659,2.53454661369324,54.2802124023438,54.3779487609863,17.7367477416992,53.021484375,634.926940917969,7.57708740234375,0,0,0,0
"18",1,1020,32.9957389831543,26.0190124511719,12.7676563262939,19.0852165222168,0.659582436084747,2.41589260101318,44.0859375,49.6759605407715,17.7367477416992,65.1729736328125,422.225921630859,3.01171875,0,0,0,0
"19",1,1080,26.3735866546631,22.2080383300781,16.029354095459,20.5751571655273,0.627187848091125,2.29723882675171,32.8818244934082,43.2832527160645,17.7367477416992,76.9993896484375,204.988037109375,-1.81976318359375,0,0,0,0
"20",1,1140,20.1702766418457,18.7836303710938,20.2420024871826,22.0650978088379,0.594793200492859,2.17858481407166,22.2979564666748,35.8852424621582,17.7367477416992,87.9769515991211,22.7727603912354,-6.16378784179688,0,0,0,0
"21",1,1200,17.2358303070068,17.2204284667969,23.5320739746094,23.5550384521484,0.562398493289948,2.05993103981018,17.2590160369873,29.2653903961182,17.7367477416992,90,0.00539802014827728,-7.87564086914062,0,0,0,0
"22",1,1260,15.7036943435669,16.1795349121094,25.8185119628906,25.044979095459,0.530003786087036,1.94127702713013,15.0014514923096,24.680046081543,17.7367477416992,90,0,-8.87368774414062,0,0,0,0
"23",1,1320,14.6248416900635,15.4227905273438,27.9338531494141,26.5349197387695,0.49760913848877,1.82262301445007,13.4717950820923,21.5461921691895,17.7367477416992,90,0,-9.494384765625,0,0,0,0
"24",1,1380,13.8173627853394,14.8726501464844,30.0062122344971,28.0248603820801,0.465214520692825,1.70396935939789,12.3261346817017,19.309045791626,17.7367477416992,90,0,-9.8443603515625,0,0,0,0
"25",2,0,13.2028532028198,14.4726867675781,32.0539855957031,29.5148010253906,0.432819873094559,1.58531546592712,11.4505548477173,17.6482315063477,17.7367477416992,90,0,-10.0010070800781,0,0,0,0
