"","hour","absorb","Tcfinal","posture","Tc_init","Time.to.35","tau","rate","Qsol","Zen","vel","Tair","Tsurf","PctCanopy","PctCloud","PctShade","RelHum"
"1",8,0.77,16.4678097114276,"n",10,NA,571.261361120865,0.679318800634845,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"2",9,0.77,20.067538404673,"n",10,NA,514.403166768977,1.17427796581132,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"3",10,0.77,22.7530664498424,"n",10,NA,492.938920634726,1.55228965488314,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"4",11,0.77,25.0327062894817,"n",10,NA,478.508099123856,1.88494694033474,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"5",12,0.77,26.9635570568876,"n",10,NA,473.937735710163,2.14756780632403,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"6",13,0.77,28.0325031544406,"n",10,NA,463.434296335323,2.33463556284488,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"7",14,0.77,28.761186075957,"n",10,NA,466.503384693141,2.41299677878623,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"8",15,0.77,29.3966714460522,"n",10,NA,464.109726883479,2.50759727570916,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"9",16,0.77,29.5806106045552,"n",10,NA,485.036266032102,2.42216246196229,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"10",8,0.92,16.9538873189563,"n",10,NA,571.261361120865,0.730371888479782,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"11",9,0.92,20.6721339447692,"n",10,NA,514.403166768977,1.24479800680102,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"12",10,0.92,23.464900613541,"n",10,NA,492.938920634726,1.63893335055018,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
