"","dates","DOY","hour","forage.time.minute","forage.bout.minute","zen"
"2337",1990-04-08 08:00:00,NA,NA,NA,NA,NA
"2338",1990-04-08 09:00:00,NA,NA,NA,NA,NA
"2339",1990-04-08 10:00:00,NA,NA,NA,NA,NA
"2340",1990-04-08 11:00:00,NA,NA,NA,NA,NA
"2341",1990-04-08 12:00:00,NA,NA,NA,NA,NA
"2342",1990-04-08 13:00:00,NA,NA,NA,NA,NA
"2343",1990-04-08 14:00:00,NA,NA,NA,NA,NA
"2344",1990-04-08 15:00:00,NA,NA,NA,NA,NA
"2345",1990-04-08 16:00:00,NA,NA,NA,NA,NA
"2346",1990-04-08 17:00:00,NA,NA,NA,NA,NA
"2347",1990-04-08 18:00:00,NA,NA,NA,NA,NA
"2348",1990-04-08 19:00:00,NA,NA,NA,NA,NA
"2349",1990-04-08 20:00:00,NA,NA,NA,NA,NA
"2350",1990-04-08 21:00:00,NA,NA,NA,NA,NA
"2351",1990-04-08 22:00:00,NA,NA,NA,NA,NA
"2352",1990-04-08 23:00:00,NA,NA,NA,NA,NA
"2353",1990-04-09 00:00:00,NA,NA,NA,NA,NA
"2354",1990-04-09 01:00:00,NA,NA,NA,NA,NA
"2355",1990-04-09 02:00:00,NA,NA,NA,NA,NA
"2356",1990-04-09 03:00:00,NA,NA,NA,NA,NA
"2357",1990-04-09 04:00:00,NA,NA,NA,NA,NA
"2358",1990-04-09 05:00:00,NA,NA,NA,NA,NA
"2359",1990-04-09 06:00:00,NA,NA,NA,NA,NA
"2360",1990-04-09 07:00:00,NA,NA,NA,NA,NA
"2361",1990-04-09 08:00:00,NA,NA,NA,NA,NA
"2362",1990-04-09 09:00:00,NA,NA,NA,NA,NA
"2363",1990-04-09 10:00:00,NA,NA,NA,NA,NA
"2364",1990-04-09 11:00:00,NA,NA,NA,NA,NA
"2365",1990-04-09 12:00:00,NA,NA,NA,NA,NA
"2366",1990-04-09 13:00:00,NA,NA,NA,NA,NA
"2367",1990-04-09 14:00:00,NA,NA,NA,NA,NA
"2368",1990-04-09 15:00:00,NA,NA,NA,NA,NA
"2369",1990-04-09 16:00:00,NA,NA,NA,NA,NA
"2370",1990-04-09 17:00:00,NA,NA,NA,NA,NA
"2371",1990-04-09 18:00:00,NA,NA,NA,NA,NA
"2372",1990-04-09 19:00:00,NA,NA,NA,NA,NA
"2373",1990-04-09 20:00:00,NA,NA,NA,NA,NA
"2374",1990-04-09 21:00:00,NA,NA,NA,NA,NA
"2375",1990-04-09 22:00:00,NA,NA,NA,NA,NA
"2376",1990-04-09 23:00:00,NA,NA,NA,NA,NA
"2377",1990-04-10 00:00:00,NA,NA,NA,NA,NA
"2378",1990-04-10 01:00:00,NA,NA,NA,NA,NA
"2379",1990-04-10 02:00:00,NA,NA,NA,NA,NA
"2380",1990-04-10 03:00:00,NA,NA,NA,NA,NA
"2381",1990-04-10 04:00:00,NA,NA,NA,NA,NA
"2382",1990-04-10 05:00:00,NA,NA,NA,NA,NA
"2383",1990-04-10 06:00:00,NA,NA,NA,NA,NA
"2384",1990-04-10 07:00:00,NA,NA,NA,NA,NA
"2385",1990-04-10 08:00:00,NA,NA,NA,NA,NA
"2386",1990-04-10 09:00:00,NA,NA,NA,NA,NA
"2387",1990-04-10 10:00:00,NA,NA,NA,NA,NA
"2388",1990-04-10 11:00:00,NA,NA,NA,NA,NA
"2389",1990-04-10 12:00:00,NA,NA,NA,NA,NA
"2390",1990-04-10 13:00:00,NA,NA,NA,NA,NA
"2391",1990-04-10 14:00:00,NA,NA,NA,NA,NA
"2392",1990-04-10 15:00:00,NA,NA,NA,NA,NA
"2393",1990-04-10 16:00:00,NA,NA,NA,NA,NA
"2394",1990-04-10 17:00:00,NA,NA,NA,NA,NA
"2395",1990-04-10 18:00:00,NA,NA,NA,NA,NA
"2396",1990-04-10 19:00:00,NA,NA,NA,NA,NA
"2397",1990-04-10 20:00:00,NA,NA,NA,NA,NA
"2398",1990-04-10 21:00:00,NA,NA,NA,NA,NA
"2399",1990-04-10 22:00:00,NA,NA,NA,NA,NA
"2400",1990-04-10 23:00:00,NA,NA,NA,NA,NA
"2401",1990-04-11 00:00:00,NA,NA,NA,NA,NA
"2402",1990-04-11 01:00:00,NA,NA,NA,NA,NA
"2403",1990-04-11 02:00:00,NA,NA,NA,NA,NA
"2404",1990-04-11 03:00:00,NA,NA,NA,NA,NA
"2405",1990-04-11 04:00:00,NA,NA,NA,NA,NA
"2406",1990-04-11 05:00:00,NA,NA,NA,NA,NA
"2407",1990-04-11 06:00:00,NA,NA,NA,NA,NA
"2408",1990-04-11 07:00:00,NA,NA,NA,NA,NA
"2409",1990-04-11 08:00:00,NA,NA,NA,NA,NA
"2410",1990-04-11 09:00:00,NA,NA,NA,NA,NA
"2411",1990-04-11 10:00:00,NA,NA,NA,NA,NA
"2412",1990-04-11 11:00:00,NA,NA,NA,NA,NA
"2413",1990-04-11 12:00:00,NA,NA,NA,NA,NA
"2414",1990-04-11 13:00:00,NA,NA,NA,NA,NA
"2415",1990-04-11 14:00:00,NA,NA,NA,NA,NA
"2416",1990-04-11 15:00:00,NA,NA,NA,NA,NA
"2417",1990-04-11 16:00:00,NA,NA,NA,NA,NA
"2418",1990-04-11 17:00:00,NA,NA,NA,NA,NA
"2419",1990-04-11 18:00:00,NA,NA,NA,NA,NA
"2420",1990-04-11 19:00:00,NA,NA,NA,NA,NA
"2421",1990-04-11 20:00:00,NA,NA,NA,NA,NA
"2422",1990-04-11 21:00:00,NA,NA,NA,NA,NA
"2423",1990-04-11 22:00:00,NA,NA,NA,NA,NA
"2424",1990-04-11 23:00:00,NA,NA,NA,NA,NA
"2425",1990-04-12 00:00:00,NA,NA,NA,NA,NA
"2426",1990-04-12 01:00:00,NA,NA,NA,NA,NA
"2427",1990-04-12 02:00:00,NA,NA,NA,NA,NA
"2428",1990-04-12 03:00:00,NA,NA,NA,NA,NA
"2429",1990-04-12 04:00:00,NA,NA,NA,NA,NA
"2430",1990-04-12 05:00:00,NA,NA,NA,NA,NA
"2431",1990-04-12 06:00:00,NA,NA,NA,NA,NA
"2432",1990-04-12 07:00:00,NA,NA,NA,NA,NA
"2433",1990-04-12 08:00:00,NA,NA,NA,NA,NA
"2434",1990-04-12 09:00:00,NA,NA,NA,NA,NA
"2435",1990-04-12 10:00:00,NA,NA,NA,NA,NA
"2436",1990-04-12 11:00:00,NA,NA,NA,NA,NA
"2437",1990-04-12 12:00:00,NA,NA,NA,NA,NA
"2438",1990-04-12 13:00:00,NA,NA,NA,NA,NA
"2439",1990-04-12 14:00:00,NA,NA,NA,NA,NA
"2440",1990-04-12 15:00:00,NA,NA,NA,NA,NA
"2441",1990-04-12 16:00:00,NA,NA,NA,NA,NA
"2442",1990-04-12 17:00:00,NA,NA,NA,NA,NA
"2443",1990-04-12 18:00:00,NA,NA,NA,NA,NA
"2444",1990-04-12 19:00:00,NA,NA,NA,NA,NA
"2445",1990-04-12 20:00:00,NA,NA,NA,NA,NA
"2446",1990-04-12 21:00:00,NA,NA,NA,NA,NA
"2447",1990-04-12 22:00:00,NA,NA,NA,NA,NA
"2448",1990-04-12 23:00:00,NA,NA,NA,NA,NA
"2449",1990-04-13 00:00:00,NA,NA,NA,NA,NA
"2450",1990-04-13 01:00:00,NA,NA,NA,NA,NA
"2451",1990-04-13 02:00:00,NA,NA,NA,NA,NA
"2452",1990-04-13 03:00:00,NA,NA,NA,NA,NA
"2453",1990-04-13 04:00:00,NA,NA,NA,NA,NA
"2454",1990-04-13 05:00:00,NA,NA,NA,NA,NA
"2455",1990-04-13 06:00:00,NA,NA,NA,NA,NA
"2456",1990-04-13 07:00:00,NA,NA,NA,NA,NA
"2457",1990-04-13 08:00:00,NA,NA,NA,NA,NA
"2458",1990-04-13 09:00:00,NA,NA,NA,NA,NA
"2459",1990-04-13 10:00:00,NA,NA,NA,NA,NA
"2460",1990-04-13 11:00:00,NA,NA,NA,NA,NA
"2461",1990-04-13 12:00:00,NA,NA,NA,NA,NA
"2462",1990-04-13 13:00:00,NA,NA,NA,NA,NA
"2463",1990-04-13 14:00:00,NA,NA,NA,NA,NA
"2464",1990-04-13 15:00:00,NA,NA,NA,NA,NA
"2465",1990-04-13 16:00:00,NA,NA,NA,NA,NA
"2466",1990-04-13 17:00:00,NA,NA,NA,NA,NA
"2467",1990-04-13 18:00:00,NA,NA,NA,NA,NA
"2468",1990-04-13 19:00:00,NA,NA,NA,NA,NA
"2469",1990-04-13 20:00:00,NA,NA,NA,NA,NA
"2470",1990-04-13 21:00:00,NA,NA,NA,NA,NA
"2471",1990-04-13 22:00:00,NA,NA,NA,NA,NA
"2472",1990-04-13 23:00:00,NA,NA,NA,NA,NA
"2473",1990-04-14 00:00:00,NA,NA,NA,NA,NA
"2474",1990-04-14 01:00:00,NA,NA,NA,NA,NA
"2475",1990-04-14 02:00:00,NA,NA,NA,NA,NA
"2476",1990-04-14 03:00:00,NA,NA,NA,NA,NA
"2477",1990-04-14 04:00:00,NA,NA,NA,NA,NA
"2478",1990-04-14 05:00:00,NA,NA,NA,NA,NA
"2479",1990-04-14 06:00:00,NA,NA,NA,NA,NA
"2480",1990-04-14 07:00:00,NA,NA,NA,NA,NA
"2481",1990-04-14 08:00:00,NA,NA,NA,NA,NA
"2482",1990-04-14 09:00:00,NA,NA,NA,NA,NA
"2483",1990-04-14 10:00:00,NA,NA,NA,NA,NA
"2484",1990-04-14 11:00:00,NA,NA,NA,NA,NA
"2485",1990-04-14 12:00:00,NA,NA,NA,NA,NA
"2486",1990-04-14 13:00:00,NA,NA,NA,NA,NA
"2487",1990-04-14 14:00:00,NA,NA,NA,NA,NA
"2488",1990-04-14 15:00:00,NA,NA,NA,NA,NA
"2489",1990-04-14 16:00:00,NA,NA,NA,NA,NA
"2490",1990-04-14 17:00:00,NA,NA,NA,NA,NA
"2491",1990-04-14 18:00:00,NA,NA,NA,NA,NA
"2492",1990-04-14 19:00:00,NA,NA,NA,NA,NA
"2493",1990-04-14 20:00:00,NA,NA,NA,NA,NA
"2494",1990-04-14 21:00:00,NA,NA,NA,NA,NA
"2495",1990-04-14 22:00:00,NA,NA,NA,NA,NA
"2496",1990-04-14 23:00:00,NA,NA,NA,NA,NA
"2497",1990-04-15 00:00:00,NA,NA,NA,NA,NA
"2498",1990-04-15 01:00:00,NA,NA,NA,NA,NA
"2499",1990-04-15 02:00:00,NA,NA,NA,NA,NA
"2500",1990-04-15 03:00:00,NA,NA,NA,NA,NA
"2501",1990-04-15 04:00:00,NA,NA,NA,NA,NA
"2502",1990-04-15 05:00:00,NA,NA,NA,NA,NA
"2503",1990-04-15 06:00:00,NA,NA,NA,NA,NA
"2504",1990-04-15 07:00:00,NA,NA,NA,NA,NA
"2505",1990-04-15 08:00:00,NA,NA,NA,NA,NA
"2506",1990-04-15 09:00:00,NA,NA,NA,NA,NA
"2507",1990-04-15 10:00:00,NA,NA,NA,NA,NA
"2508",1990-04-15 11:00:00,NA,NA,NA,NA,NA
"2509",1990-04-15 12:00:00,NA,NA,NA,NA,NA
"2510",1990-04-15 13:00:00,NA,NA,NA,NA,NA
"2511",1990-04-15 14:00:00,NA,NA,NA,NA,NA
"2512",1990-04-15 15:00:00,NA,NA,NA,NA,NA
"2513",1990-04-15 16:00:00,NA,NA,NA,NA,NA
"2514",1990-04-15 17:00:00,NA,NA,NA,NA,NA
"2515",1990-04-15 18:00:00,NA,NA,NA,NA,NA
"2516",1990-04-15 19:00:00,NA,NA,NA,NA,NA
"2517",1990-04-15 20:00:00,NA,NA,NA,NA,NA
"2518",1990-04-15 21:00:00,NA,NA,NA,NA,NA
"2519",1990-04-15 22:00:00,NA,NA,NA,NA,NA
"2520",1990-04-15 23:00:00,NA,NA,NA,NA,NA
"2521",1990-04-16 00:00:00,NA,NA,NA,NA,NA
"2522",1990-04-16 01:00:00,NA,NA,NA,NA,NA
"2523",1990-04-16 02:00:00,NA,NA,NA,NA,NA
"2524",1990-04-16 03:00:00,NA,NA,NA,NA,NA
"2525",1990-04-16 04:00:00,NA,NA,NA,NA,NA
"2526",1990-04-16 05:00:00,NA,NA,NA,NA,NA
"2527",1990-04-16 06:00:00,NA,NA,NA,NA,NA
"2528",1990-04-16 07:00:00,NA,NA,NA,NA,NA
"2529",1990-04-16 08:00:00,NA,NA,NA,NA,NA
"2530",1990-04-16 09:00:00,NA,NA,NA,NA,NA
"2531",1990-04-16 10:00:00,NA,NA,NA,NA,NA
"2532",1990-04-16 11:00:00,NA,NA,NA,NA,NA
"2533",1990-04-16 12:00:00,NA,NA,NA,NA,NA
"2534",1990-04-16 13:00:00,NA,NA,NA,NA,NA
"2535",1990-04-16 14:00:00,NA,NA,NA,NA,NA
"2536",1990-04-16 15:00:00,NA,NA,NA,NA,NA
"2537",1990-04-16 16:00:00,NA,NA,NA,NA,NA
"2538",1990-04-16 17:00:00,NA,NA,NA,NA,NA
"2539",1990-04-16 18:00:00,NA,NA,NA,NA,NA
"2540",1990-04-16 19:00:00,NA,NA,NA,NA,NA
"2541",1990-04-16 20:00:00,NA,NA,NA,NA,NA
"2542",1990-04-16 21:00:00,NA,NA,NA,NA,NA
"2543",1990-04-16 22:00:00,NA,NA,NA,NA,NA
"2544",1990-04-16 23:00:00,NA,NA,NA,NA,NA
"2545",1990-04-17 00:00:00,NA,NA,NA,NA,NA
"2546",1990-04-17 01:00:00,NA,NA,NA,NA,NA
"2547",1990-04-17 02:00:00,NA,NA,NA,NA,NA
"2548",1990-04-17 03:00:00,NA,NA,NA,NA,NA
"2549",1990-04-17 04:00:00,NA,NA,NA,NA,NA
"2550",1990-04-17 05:00:00,NA,NA,NA,NA,NA
"2551",1990-04-17 06:00:00,NA,NA,NA,NA,NA
"2552",1990-04-17 07:00:00,NA,NA,NA,NA,NA
"2553",1990-04-17 08:00:00,NA,NA,NA,NA,NA
"2554",1990-04-17 09:00:00,NA,NA,NA,NA,NA
"2555",1990-04-17 10:00:00,NA,NA,NA,NA,NA
"2556",1990-04-17 11:00:00,NA,NA,NA,NA,NA
"2557",1990-04-17 12:00:00,NA,NA,NA,NA,NA
"2558",1990-04-17 13:00:00,NA,NA,NA,NA,NA
"2559",1990-04-17 14:00:00,NA,NA,NA,NA,NA
"2560",1990-04-17 15:00:00,NA,NA,NA,NA,NA
"2561",1990-04-17 16:00:00,NA,NA,NA,NA,NA
"2562",1990-04-17 17:00:00,NA,NA,NA,NA,NA
"2563",1990-04-17 18:00:00,NA,NA,NA,NA,NA
"2564",1990-04-17 19:00:00,NA,NA,NA,NA,NA
"2565",1990-04-17 20:00:00,NA,NA,NA,NA,NA
"2566",1990-04-17 21:00:00,NA,NA,NA,NA,NA
"2567",1990-04-17 22:00:00,NA,NA,NA,NA,NA
"2568",1990-04-17 23:00:00,NA,NA,NA,NA,NA
"2569",1990-04-18 00:00:00,NA,NA,NA,NA,NA
"2570",1990-04-18 01:00:00,NA,NA,NA,NA,NA
"2571",1990-04-18 02:00:00,NA,NA,NA,NA,NA
"2572",1990-04-18 03:00:00,NA,NA,NA,NA,NA
"2573",1990-04-18 04:00:00,NA,NA,NA,NA,NA
"2574",1990-04-18 05:00:00,NA,NA,NA,NA,NA
"2575",1990-04-18 06:00:00,NA,NA,NA,NA,NA
"2576",1990-04-18 07:00:00,NA,NA,NA,NA,NA
"2577",1990-04-18 08:00:00,NA,NA,NA,NA,NA
"2578",1990-04-18 09:00:00,NA,NA,NA,NA,NA
"2579",1990-04-18 10:00:00,NA,NA,NA,NA,NA
"2580",1990-04-18 11:00:00,NA,NA,NA,NA,NA
"2581",1990-04-18 12:00:00,NA,NA,NA,NA,NA
"2582",1990-04-18 13:00:00,NA,NA,NA,NA,NA
"2583",1990-04-18 14:00:00,NA,NA,NA,NA,NA
"2584",1990-04-18 15:00:00,NA,NA,NA,NA,NA
"2585",1990-04-18 16:00:00,NA,NA,NA,NA,NA
"2586",1990-04-18 17:00:00,NA,NA,NA,NA,NA
"2587",1990-04-18 18:00:00,NA,NA,NA,NA,NA
"2588",1990-04-18 19:00:00,NA,NA,NA,NA,NA
"2589",1990-04-18 20:00:00,NA,NA,NA,NA,NA
"2590",1990-04-18 21:00:00,NA,NA,NA,NA,NA
"2591",1990-04-18 22:00:00,NA,NA,NA,NA,NA
"2592",1990-04-18 23:00:00,NA,NA,NA,NA,NA
"2593",1990-04-19 00:00:00,NA,NA,NA,NA,NA
"2594",1990-04-19 01:00:00,NA,NA,NA,NA,NA
"2595",1990-04-19 02:00:00,NA,NA,NA,NA,NA
"2596",1990-04-19 03:00:00,NA,NA,NA,NA,NA
"2597",1990-04-19 04:00:00,NA,NA,NA,NA,NA
"2598",1990-04-19 05:00:00,NA,NA,NA,NA,NA
"2599",1990-04-19 06:00:00,NA,NA,NA,NA,NA
"2600",1990-04-19 07:00:00,NA,NA,NA,NA,NA
"2601",1990-04-19 08:00:00,NA,NA,NA,NA,NA
"2602",1990-04-19 09:00:00,NA,NA,NA,NA,NA
"2603",1990-04-19 10:00:00,NA,NA,NA,NA,NA
"2604",1990-04-19 11:00:00,NA,NA,NA,NA,NA
"2605",1990-04-19 12:00:00,NA,NA,NA,NA,NA
"2606",1990-04-19 13:00:00,NA,NA,NA,NA,NA
"2607",1990-04-19 14:00:00,NA,NA,NA,NA,NA
"2608",1990-04-19 15:00:00,NA,NA,NA,NA,NA
"2609",1990-04-19 16:00:00,NA,NA,NA,NA,NA
"2610",1990-04-19 17:00:00,NA,NA,NA,NA,NA
"2611",1990-04-19 18:00:00,NA,NA,NA,NA,NA
"2612",1990-04-19 19:00:00,NA,NA,NA,NA,NA
"2613",1990-04-19 20:00:00,NA,NA,NA,NA,NA
"2614",1990-04-19 21:00:00,NA,NA,NA,NA,NA
"2615",1990-04-19 22:00:00,NA,NA,NA,NA,NA
"2616",1990-04-19 23:00:00,NA,NA,NA,NA,NA
"2617",1990-04-20 00:00:00,NA,NA,NA,NA,NA
"2618",1990-04-20 01:00:00,NA,NA,NA,NA,NA
"2619",1990-04-20 02:00:00,NA,NA,NA,NA,NA
"2620",1990-04-20 03:00:00,NA,NA,NA,NA,NA
"2621",1990-04-20 04:00:00,NA,NA,NA,NA,NA
"2622",1990-04-20 05:00:00,NA,NA,NA,NA,NA
"2623",1990-04-20 06:00:00,NA,NA,NA,NA,NA
"2624",1990-04-20 07:00:00,NA,NA,NA,NA,NA
"2625",1990-04-20 08:00:00,NA,NA,NA,NA,NA
"2626",1990-04-20 09:00:00,NA,NA,NA,NA,NA
"2627",1990-04-20 10:00:00,NA,NA,NA,NA,NA
"2628",1990-04-20 11:00:00,NA,NA,NA,NA,NA
"2629",1990-04-20 12:00:00,NA,NA,NA,NA,NA
"2630",1990-04-20 13:00:00,NA,NA,NA,NA,NA
"2631",1990-04-20 14:00:00,NA,NA,NA,NA,NA
"2632",1990-04-20 15:00:00,NA,NA,NA,NA,NA
"2633",1990-04-20 16:00:00,NA,NA,NA,NA,NA
"2634",1990-04-20 17:00:00,NA,NA,NA,NA,NA
"2635",1990-04-20 18:00:00,NA,NA,NA,NA,NA
"2636",1990-04-20 19:00:00,NA,NA,NA,NA,NA
"2637",1990-04-20 20:00:00,NA,NA,NA,NA,NA
"2638",1990-04-20 21:00:00,NA,NA,NA,NA,NA
"2639",1990-04-20 22:00:00,NA,NA,NA,NA,NA
"2640",1990-04-20 23:00:00,NA,NA,NA,NA,NA
"2641",1990-04-21 00:00:00,NA,NA,NA,NA,NA
"2642",1990-04-21 01:00:00,NA,NA,NA,NA,NA
"2643",1990-04-21 02:00:00,NA,NA,NA,NA,NA
"2644",1990-04-21 03:00:00,NA,NA,NA,NA,NA
"2645",1990-04-21 04:00:00,NA,NA,NA,NA,NA
"2646",1990-04-21 05:00:00,NA,NA,NA,NA,NA
"2647",1990-04-21 06:00:00,NA,NA,NA,NA,NA
"2648",1990-04-21 07:00:00,NA,NA,NA,NA,NA
"2649",1990-04-21 08:00:00,NA,NA,NA,NA,NA
"2650",1990-04-21 09:00:00,NA,NA,NA,NA,NA
"2651",1990-04-21 10:00:00,NA,NA,NA,NA,NA
"2652",1990-04-21 11:00:00,NA,NA,NA,NA,NA
"2653",1990-04-21 12:00:00,NA,NA,NA,NA,NA
"2654",1990-04-21 13:00:00,NA,NA,NA,NA,NA
"2655",1990-04-21 14:00:00,NA,NA,NA,NA,NA
"2656",1990-04-21 15:00:00,NA,NA,NA,NA,NA
"2657",1990-04-21 16:00:00,NA,NA,NA,NA,NA
"2658",1990-04-21 17:00:00,NA,NA,NA,NA,NA
"2659",1990-04-21 18:00:00,NA,NA,NA,NA,NA
"2660",1990-04-21 19:00:00,NA,NA,NA,NA,NA
"2661",1990-04-21 20:00:00,NA,NA,NA,NA,NA
"2662",1990-04-21 21:00:00,NA,NA,NA,NA,NA
"2663",1990-04-21 22:00:00,NA,NA,NA,NA,NA
"2664",1990-04-21 23:00:00,NA,NA,NA,NA,NA
"2665",1990-04-22 00:00:00,NA,NA,NA,NA,NA
"2666",1990-04-22 01:00:00,NA,NA,NA,NA,NA
"2667",1990-04-22 02:00:00,NA,NA,NA,NA,NA
"2668",1990-04-22 03:00:00,NA,NA,NA,NA,NA
"2669",1990-04-22 04:00:00,NA,NA,NA,NA,NA
"2670",1990-04-22 05:00:00,NA,NA,NA,NA,NA
"2671",1990-04-22 06:00:00,NA,NA,NA,NA,NA
"2672",1990-04-22 07:00:00,NA,NA,NA,NA,NA
"2673",1990-04-22 08:00:00,NA,NA,NA,NA,NA
"2674",1990-04-22 09:00:00,NA,NA,NA,NA,NA
"2675",1990-04-22 10:00:00,NA,NA,NA,NA,NA
"2676",1990-04-22 11:00:00,NA,NA,NA,NA,NA
"2677",1990-04-22 12:00:00,NA,NA,NA,NA,NA
"2678",1990-04-22 13:00:00,NA,NA,NA,NA,NA
"2679",1990-04-22 14:00:00,NA,NA,NA,NA,NA
"2680",1990-04-22 15:00:00,NA,NA,NA,NA,NA
"2681",1990-04-22 16:00:00,NA,NA,NA,NA,NA
"2682",1990-04-22 17:00:00,NA,NA,NA,NA,NA
"2683",1990-04-22 18:00:00,NA,NA,NA,NA,NA
"2684",1990-04-22 19:00:00,NA,NA,NA,NA,NA
"2685",1990-04-22 20:00:00,NA,NA,NA,NA,NA
"2686",1990-04-22 21:00:00,NA,NA,NA,NA,NA
"2687",1990-04-22 22:00:00,NA,NA,NA,NA,NA
"2688",1990-04-22 23:00:00,NA,NA,NA,NA,NA
"2689",1990-04-23 00:00:00,NA,NA,NA,NA,NA
"2690",1990-04-23 01:00:00,NA,NA,NA,NA,NA
"2691",1990-04-23 02:00:00,NA,NA,NA,NA,NA
"2692",1990-04-23 03:00:00,NA,NA,NA,NA,NA
"2693",1990-04-23 04:00:00,NA,NA,NA,NA,NA
"2694",1990-04-23 05:00:00,NA,NA,NA,NA,NA
"2695",1990-04-23 06:00:00,NA,NA,NA,NA,NA
"2696",1990-04-23 07:00:00,NA,NA,NA,NA,NA
"2697",1990-04-23 08:00:00,NA,NA,NA,NA,NA
"2698",1990-04-23 09:00:00,NA,NA,NA,NA,NA
"2699",1990-04-23 10:00:00,NA,NA,NA,NA,NA
"2700",1990-04-23 11:00:00,NA,NA,NA,NA,NA
"2701",1990-04-23 12:00:00,NA,NA,NA,NA,NA
"2702",1990-04-23 13:00:00,NA,NA,NA,NA,NA
"2703",1990-04-23 14:00:00,NA,NA,NA,NA,NA
"2704",1990-04-23 15:00:00,NA,NA,NA,NA,NA
"2705",1990-04-23 16:00:00,NA,NA,NA,NA,NA
"2706",1990-04-23 17:00:00,NA,NA,NA,NA,NA
"2707",1990-04-23 18:00:00,NA,NA,NA,NA,NA
"2708",1990-04-23 19:00:00,NA,NA,NA,NA,NA
"2709",1990-04-23 20:00:00,NA,NA,NA,NA,NA
"2710",1990-04-23 21:00:00,NA,NA,NA,NA,NA
"2711",1990-04-23 22:00:00,NA,NA,NA,NA,NA
"2712",1990-04-23 23:00:00,NA,NA,NA,NA,NA
"2713",1990-04-24 00:00:00,NA,NA,NA,NA,NA
"2714",1990-04-24 01:00:00,NA,NA,NA,NA,NA
"2715",1990-04-24 02:00:00,NA,NA,NA,NA,NA
"2716",1990-04-24 03:00:00,NA,NA,NA,NA,NA
"2717",1990-04-24 04:00:00,NA,NA,NA,NA,NA
"2718",1990-04-24 05:00:00,NA,NA,NA,NA,NA
"2719",1990-04-24 06:00:00,NA,NA,NA,NA,NA
"2720",1990-04-24 07:00:00,NA,NA,NA,NA,NA
"2721",1990-04-24 08:00:00,NA,NA,NA,NA,NA
"2722",1990-04-24 09:00:00,NA,NA,NA,NA,NA
"2723",1990-04-24 10:00:00,NA,NA,NA,NA,NA
"2724",1990-04-24 11:00:00,NA,NA,NA,NA,NA
"2725",1990-04-24 12:00:00,NA,NA,NA,NA,NA
"2726",1990-04-24 13:00:00,NA,NA,NA,NA,NA
"2727",1990-04-24 14:00:00,NA,NA,NA,NA,NA
"2728",1990-04-24 15:00:00,NA,NA,NA,NA,NA
"2729",1990-04-24 16:00:00,NA,NA,NA,NA,NA
"2730",1990-04-24 17:00:00,NA,NA,NA,NA,NA
"2731",1990-04-24 18:00:00,NA,NA,NA,NA,NA
"2732",1990-04-24 19:00:00,NA,NA,NA,NA,NA
"2733",1990-04-24 20:00:00,NA,NA,NA,NA,NA
"2734",1990-04-24 21:00:00,NA,NA,NA,NA,NA
"2735",1990-04-24 22:00:00,NA,NA,NA,NA,NA
"2736",1990-04-24 23:00:00,NA,NA,NA,NA,NA
"2737",1990-04-25 00:00:00,NA,NA,NA,NA,NA
"2738",1990-04-25 01:00:00,NA,NA,NA,NA,NA
"2739",1990-04-25 02:00:00,NA,NA,NA,NA,NA
"2740",1990-04-25 03:00:00,NA,NA,NA,NA,NA
"2741",1990-04-25 04:00:00,NA,NA,NA,NA,NA
"2742",1990-04-25 05:00:00,NA,NA,NA,NA,NA
"2743",1990-04-25 06:00:00,NA,NA,NA,NA,NA
"2744",1990-04-25 07:00:00,NA,NA,NA,NA,NA
"2745",1990-04-25 08:00:00,NA,NA,NA,NA,NA
"2746",1990-04-25 09:00:00,NA,NA,NA,NA,NA
"2747",1990-04-25 10:00:00,NA,NA,NA,NA,NA
"2748",1990-04-25 11:00:00,NA,NA,NA,NA,NA
"2749",1990-04-25 12:00:00,NA,NA,NA,NA,NA
"2750",1990-04-25 13:00:00,NA,NA,NA,NA,NA
"2751",1990-04-25 14:00:00,NA,NA,NA,NA,NA
"2752",1990-04-25 15:00:00,NA,NA,NA,NA,NA
"2753",1990-04-25 16:00:00,NA,NA,NA,NA,NA
"2754",1990-04-25 17:00:00,NA,NA,NA,NA,NA
"2755",1990-04-25 18:00:00,NA,NA,NA,NA,NA
"2756",1990-04-25 19:00:00,NA,NA,NA,NA,NA
"2757",1990-04-25 20:00:00,NA,NA,NA,NA,NA
"2758",1990-04-25 21:00:00,NA,NA,NA,NA,NA
"2759",1990-04-25 22:00:00,NA,NA,NA,NA,NA
"2760",1990-04-25 23:00:00,NA,NA,NA,NA,NA
"2761",1990-04-26 00:00:00,NA,NA,NA,NA,NA
"2762",1990-04-26 01:00:00,NA,NA,NA,NA,NA
"2763",1990-04-26 02:00:00,NA,NA,NA,NA,NA
"2764",1990-04-26 03:00:00,NA,NA,NA,NA,NA
"2765",1990-04-26 04:00:00,NA,NA,NA,NA,NA
"2766",1990-04-26 05:00:00,NA,NA,NA,NA,NA
"2767",1990-04-26 06:00:00,NA,NA,NA,NA,NA
"2768",1990-04-26 07:00:00,NA,NA,NA,NA,NA
"2769",1990-04-26 08:00:00,NA,NA,NA,NA,NA
"2770",1990-04-26 09:00:00,NA,NA,NA,NA,NA
"2771",1990-04-26 10:00:00,NA,NA,NA,NA,NA
"2772",1990-04-26 11:00:00,NA,NA,NA,NA,NA
