"","dates","DOY","hour","forage.time.minute","forage.bout.minute","zen"
"103",1990-01-05 06:00:00,NA,NA,NA,NA,NA
"104",1990-01-05 07:00:00,NA,NA,NA,NA,NA
"105",1990-01-05 08:00:00,NA,NA,NA,NA,NA
"106",1990-01-05 09:00:00,NA,NA,NA,NA,NA
"107",1990-01-05 10:00:00,NA,NA,NA,NA,NA
"108",1990-01-05 11:00:00,NA,NA,NA,NA,NA
"109",1990-01-05 12:00:00,NA,NA,NA,NA,NA
"110",1990-01-05 13:00:00,NA,NA,NA,NA,NA
"111",1990-01-05 14:00:00,NA,NA,NA,NA,NA
"112",1990-01-05 15:00:00,NA,NA,NA,NA,NA
"113",1990-01-05 16:00:00,NA,NA,NA,NA,NA
"114",1990-01-05 17:00:00,NA,NA,NA,NA,NA
"115",1990-01-05 18:00:00,NA,NA,NA,NA,NA
"116",1990-01-05 19:00:00,NA,NA,NA,NA,NA
"117",1990-01-05 20:00:00,NA,NA,NA,NA,NA
"118",1990-01-05 21:00:00,NA,NA,NA,NA,NA
"119",1990-01-05 22:00:00,NA,NA,NA,NA,NA
"120",1990-01-05 23:00:00,NA,NA,NA,NA,NA
"121",1990-01-06 00:00:00,NA,NA,NA,NA,NA
"122",1990-01-06 01:00:00,NA,NA,NA,NA,NA
"123",1990-01-06 02:00:00,NA,NA,NA,NA,NA
"124",1990-01-06 03:00:00,NA,NA,NA,NA,NA
"125",1990-01-06 04:00:00,NA,NA,NA,NA,NA
"126",1990-01-06 05:00:00,NA,NA,NA,NA,NA
"127",1990-01-06 06:00:00,NA,NA,NA,NA,NA
"128",1990-01-06 07:00:00,NA,NA,NA,NA,NA
"129",1990-01-06 08:00:00,NA,NA,NA,NA,NA
"130",1990-01-06 09:00:00,NA,NA,NA,NA,NA
"131",1990-01-06 10:00:00,NA,NA,NA,NA,NA
"132",1990-01-06 11:00:00,NA,NA,NA,NA,NA
"133",1990-01-06 12:00:00,NA,NA,NA,NA,NA
"134",1990-01-06 13:00:00,NA,NA,NA,NA,NA
"135",1990-01-06 14:00:00,NA,NA,NA,NA,NA
"136",1990-01-06 15:00:00,NA,NA,NA,NA,NA
"137",1990-01-06 16:00:00,NA,NA,NA,NA,NA
"138",1990-01-06 17:00:00,NA,NA,NA,NA,NA
"139",1990-01-06 18:00:00,NA,NA,NA,NA,NA
"140",1990-01-06 19:00:00,NA,NA,NA,NA,NA
"141",1990-01-06 20:00:00,NA,NA,NA,NA,NA
"142",1990-01-06 21:00:00,NA,NA,NA,NA,NA
"143",1990-01-06 22:00:00,NA,NA,NA,NA,NA
"144",1990-01-06 23:00:00,NA,NA,NA,NA,NA
"145",1990-01-07 00:00:00,NA,NA,NA,NA,NA
"146",1990-01-07 01:00:00,NA,NA,NA,NA,NA
"147",1990-01-07 02:00:00,NA,NA,NA,NA,NA
"148",1990-01-07 03:00:00,NA,NA,NA,NA,NA
"149",1990-01-07 04:00:00,NA,NA,NA,NA,NA
"150",1990-01-07 05:00:00,NA,NA,NA,NA,NA
"151",1990-01-07 06:00:00,NA,NA,NA,NA,NA
"152",1990-01-07 07:00:00,NA,NA,NA,NA,NA
"153",1990-01-07 08:00:00,NA,NA,NA,NA,NA
"154",1990-01-07 09:00:00,NA,NA,NA,NA,NA
"155",1990-01-07 10:00:00,NA,NA,NA,NA,NA
"156",1990-01-07 11:00:00,NA,NA,NA,NA,NA
"157",1990-01-07 12:00:00,NA,NA,NA,NA,NA
"158",1990-01-07 13:00:00,NA,NA,NA,NA,NA
"159",1990-01-07 14:00:00,NA,NA,NA,NA,NA
"160",1990-01-07 15:00:00,NA,NA,NA,NA,NA
"161",1990-01-07 16:00:00,NA,NA,NA,NA,NA
"162",1990-01-07 17:00:00,NA,NA,NA,NA,NA
"163",1990-01-07 18:00:00,NA,NA,NA,NA,NA
"164",1990-01-07 19:00:00,NA,NA,NA,NA,NA
"165",1990-01-07 20:00:00,NA,NA,NA,NA,NA
"166",1990-01-07 21:00:00,NA,NA,NA,NA,NA
"167",1990-01-07 22:00:00,NA,NA,NA,NA,NA
"168",1990-01-07 23:00:00,NA,NA,NA,NA,NA
"169",1990-01-08 00:00:00,NA,NA,NA,NA,NA
"170",1990-01-08 01:00:00,NA,NA,NA,NA,NA
"171",1990-01-08 02:00:00,NA,NA,NA,NA,NA
"172",1990-01-08 03:00:00,NA,NA,NA,NA,NA
"173",1990-01-08 04:00:00,NA,NA,NA,NA,NA
"174",1990-01-08 05:00:00,NA,NA,NA,NA,NA
"175",1990-01-08 06:00:00,NA,NA,NA,NA,NA
"176",1990-01-08 07:00:00,NA,NA,NA,NA,NA
"177",1990-01-08 08:00:00,NA,NA,NA,NA,NA
"178",1990-01-08 09:00:00,NA,NA,NA,NA,NA
"179",1990-01-08 10:00:00,NA,NA,NA,NA,NA
"180",1990-01-08 11:00:00,NA,NA,NA,NA,NA
"181",1990-01-08 12:00:00,NA,NA,NA,NA,NA
"182",1990-01-08 13:00:00,NA,NA,NA,NA,NA
"183",1990-01-08 14:00:00,NA,NA,NA,NA,NA
"184",1990-01-08 15:00:00,NA,NA,NA,NA,NA
"185",1990-01-08 16:00:00,NA,NA,NA,NA,NA
"186",1990-01-08 17:00:00,NA,NA,NA,NA,NA
"187",1990-01-08 18:00:00,NA,NA,NA,NA,NA
"188",1990-01-08 19:00:00,NA,NA,NA,NA,NA
"189",1990-01-08 20:00:00,NA,NA,NA,NA,NA
"190",1990-01-08 21:00:00,NA,NA,NA,NA,NA
"191",1990-01-08 22:00:00,NA,NA,NA,NA,NA
"192",1990-01-08 23:00:00,NA,NA,NA,NA,NA
"193",1990-01-09 00:00:00,NA,NA,NA,NA,NA
"194",1990-01-09 01:00:00,NA,NA,NA,NA,NA
"195",1990-01-09 02:00:00,NA,NA,NA,NA,NA
"196",1990-01-09 03:00:00,NA,NA,NA,NA,NA
"197",1990-01-09 04:00:00,NA,NA,NA,NA,NA
"198",1990-01-09 05:00:00,NA,NA,NA,NA,NA
"199",1990-01-09 06:00:00,NA,NA,NA,NA,NA
"200",1990-01-09 07:00:00,NA,NA,NA,NA,NA
"201",1990-01-09 08:00:00,NA,NA,NA,NA,NA
"202",1990-01-09 09:00:00,NA,NA,NA,NA,NA
"203",1990-01-09 10:00:00,NA,NA,NA,NA,NA
"204",1990-01-09 11:00:00,NA,NA,NA,NA,NA
"205",1990-01-09 12:00:00,NA,NA,NA,NA,NA
"206",1990-01-09 13:00:00,NA,NA,NA,NA,NA
"207",1990-01-09 14:00:00,NA,NA,NA,NA,NA
"208",1990-01-09 15:00:00,NA,NA,NA,NA,NA
"209",1990-01-09 16:00:00,NA,NA,NA,NA,NA
"210",1990-01-09 17:00:00,NA,NA,NA,NA,NA
"211",1990-01-09 18:00:00,NA,NA,NA,NA,NA
"212",1990-01-09 19:00:00,NA,NA,NA,NA,NA
"213",1990-01-09 20:00:00,NA,NA,NA,NA,NA
"214",1990-01-09 21:00:00,NA,NA,NA,NA,NA
"215",1990-01-09 22:00:00,NA,NA,NA,NA,NA
"216",1990-01-09 23:00:00,NA,NA,NA,NA,NA
"217",1990-01-10 00:00:00,NA,NA,NA,NA,NA
"218",1990-01-10 01:00:00,NA,NA,NA,NA,NA
"219",1990-01-10 02:00:00,NA,NA,NA,NA,NA
"220",1990-01-10 03:00:00,NA,NA,NA,NA,NA
"221",1990-01-10 04:00:00,NA,NA,NA,NA,NA
"222",1990-01-10 05:00:00,NA,NA,NA,NA,NA
"223",1990-01-10 06:00:00,NA,NA,NA,NA,NA
"224",1990-01-10 07:00:00,NA,NA,NA,NA,NA
"225",1990-01-10 08:00:00,NA,NA,NA,NA,NA
"226",1990-01-10 09:00:00,NA,NA,NA,NA,NA
"227",1990-01-10 10:00:00,NA,NA,NA,NA,NA
"228",1990-01-10 11:00:00,NA,NA,NA,NA,NA
"229",1990-01-10 12:00:00,NA,NA,NA,NA,NA
"230",1990-01-10 13:00:00,NA,NA,NA,NA,NA
"231",1990-01-10 14:00:00,NA,NA,NA,NA,NA
"232",1990-01-10 15:00:00,NA,NA,NA,NA,NA
"233",1990-01-10 16:00:00,NA,NA,NA,NA,NA
"234",1990-01-10 17:00:00,NA,NA,NA,NA,NA
"235",1990-01-10 18:00:00,NA,NA,NA,NA,NA
"236",1990-01-10 19:00:00,NA,NA,NA,NA,NA
"237",1990-01-10 20:00:00,NA,NA,NA,NA,NA
"238",1990-01-10 21:00:00,NA,NA,NA,NA,NA
"239",1990-01-10 22:00:00,NA,NA,NA,NA,NA
"240",1990-01-10 23:00:00,NA,NA,NA,NA,NA
"241",1990-01-11 00:00:00,NA,NA,NA,NA,NA
"242",1990-01-11 01:00:00,NA,NA,NA,NA,NA
"243",1990-01-11 02:00:00,NA,NA,NA,NA,NA
"244",1990-01-11 03:00:00,NA,NA,NA,NA,NA
"245",1990-01-11 04:00:00,NA,NA,NA,NA,NA
"246",1990-01-11 05:00:00,NA,NA,NA,NA,NA
"247",1990-01-11 06:00:00,NA,NA,NA,NA,NA
