"","lizards[k]","Tpred","ObsTb","Posture","Tc_init","Qsol","Zen","vel","Tair","Tsurf","PctCanopy","PctCloud","PctShade","RelHum"
"44","M10_opmodel",22.516426686369,30.6,"p",22.4,321,45.8814621,3.2777804,22.4,20.86698866,48.86,0,40,20
"45","M10_opmodel",30.7906111112262,33.7,"n",27.9,530,21.22268867,3.0277802,27.9,36.84757318,40.38,40,0,22
"46","M10_opmodel",30.0553744298181,33.7,"p",27.9,530,21.22268867,3.0277802,27.9,36.84757318,40.38,40,0,22
"47","M10_opmodel",30.7906111112262,32.8,"n",27.9,530,21.22268867,3.0277802,27.9,36.84757318,40.38,40,0,22
"48","M10_opmodel",30.0553744298181,32.8,"p",27.9,530,21.22268867,3.0277802,27.9,36.84757318,40.38,40,0,22
"49","M10_opmodel",31.603639091058,31.9,"n",29.1,700,58.04568863,2.6111132,29.1,29.18702897,71.12,10,50,14
"50","M10_opmodel",30.6809917825984,31.9,"p",29.1,700,58.04568863,2.6111132,29.1,29.18702897,71.12,10,50,14
"51","M10_opmodel",31.603639091058,32.5,"n",29.1,700,58.04568863,2.6111132,29.1,29.18702897,71.12,10,50,14
"52","M10_opmodel",30.6809917825984,32.5,"p",29.1,700,58.04568863,2.6111132,29.1,29.18702897,71.12,10,50,14
"53","M10_opmodel",22.2858668911304,26.3,"n",22.1,599,24.63905907,2.7222244,22.1,25.03811072,93.64,15,100,39
"54","M10_opmodel",22.2858668911304,26.3,"p",22.1,599,24.63905907,2.7222244,22.1,25.03811072,93.64,15,100,39
"55","M10_opmodel",22.2858668911304,25.7,"n",22.1,599,24.63905907,2.7222244,22.1,25.03811072,93.64,15,100,39
"56","M10_opmodel",22.2858668911304,25.7,"p",22.1,599,24.63905907,2.7222244,22.1,25.03811072,93.64,15,100,39
"57","M10_opmodel",35.5639223350527,36.4,"n",32.1,837,33.60074997,2.8611134,32.1,37.02236148,67.41,1,5,5
"58","M10_opmodel",34.287535290391,36.4,"p",32.1,837,33.60074997,2.8611134,32.1,37.02236148,67.41,1,5,5
"59","M10_opmodel",35.5639223350527,35.5,"n",32.1,837,33.60074997,2.8611134,32.1,37.02236148,67.41,1,5,5
"60","M10_opmodel",34.287535290391,35.5,"p",32.1,837,33.60074997,2.8611134,32.1,37.02236148,67.41,1,5,5
"61","M10_opmodel",25.7305109576331,28.3,"n",25.8,817,32.97573471,3.6388918,25.8,24.56027474,94.97,0,100,10
"62","M10_opmodel",25.7305109576331,28.3,"p",25.8,817,32.97573471,3.6388918,25.8,24.56027474,94.97,0,100,10
"63","M10_opmodel",25.7305109576331,28.3,"n",25.8,817,32.97573471,3.6388918,25.8,24.56027474,94.97,0,100,10
"64","M10_opmodel",25.7305109576331,28.3,"p",25.8,817,32.97573471,3.6388918,25.8,24.56027474,94.97,0,100,10
